,SRCID,OBSID,SRC_NUM,EP_ONTIME,INST,FEAT_VALS
24,208039103010027,0803910301,27,75332.39,PNS,"[[1.12220180e+00 1.64750958e-01 5.74712644e-02 1.14942529e-02
  0.00000000e+00 0.00000000e+00 0.00000000e+00 1.20864941e+00
  1.34765898e+00 1.14481525e+00 2.73051071e+01 9.01051536e-02
  7.25868726e-01 7.38947410e-01]]"
25,200517601010033,0744440401,16,67883.98,PNX,"[[ 1.22917128e+00  1.62576687e-01  4.90797546e-02  2.76073620e-02
   6.13496933e-03  0.00000000e+00  0.00000000e+00  7.03965005e-01
   2.00766410e+00  4.12746841e+00 -9.33284836e+01  1.52088925e-01
   7.22222222e-01  7.13981223e-01]]"
26,205560301010021,0651610101,34,84332.83,PNS,"[[ 1.21214688e+00  9.40438871e-02  4.70219436e-02  3.44827586e-02
   1.88087774e-02  3.13479624e-03  0.00000000e+00  6.52477803e-01
   2.86256297e+00  9.96268391e+00 -2.65836678e+01  2.08108261e-01
   4.85804416e-01  7.47970461e-01]]"
27,203020302015021,0840580401,51,105398.8,PNS,"[[ 1.12801695e+00  1.29337539e-01  4.73186120e-02  2.20820189e-02
   6.30914826e-03  3.15457413e-03  3.15457413e-03  7.13616288e-01
   2.33588328e+00  7.81461224e+00 -3.98543625e+01  1.38319492e-01
   5.33333333e-01  1.11813180e+00]]"
28,208414814010030,0841481401,30,71816.62,PNX,"[[ 0.87528682  0.13333333  0.03333333  0.03333333  0.03333333  0.
   0.          0.96224294  2.86742151 10.28518476  4.56398535  0.16976941
   0.42857143  1.80703037]]"
29,208414814010030,0841481401,30,71816.62,PNU,"[[  0.70062649   0.2972973    0.08108108   0.           0.
    0.           0.           1.07087727   1.03947025   0.6988635
  -11.23995113   0.15452705   0.43055556   1.36294133]]"
30,201108901010012,0792180301,3,112801.7,PNS,"[[0.6327219  0.30294118 0.03823529 0.00882353 0.         0.
  0.         1.32073713 0.70583186 0.58629963 5.01634979 0.13908862
  0.32544379 1.97277673]]"
31,201108901010012,0792180301,3,112801.7,PNX,"[[ 0.63629204  0.28961749  0.03551913  0.00819672  0.          0.
   0.          1.33208264  0.76052584  0.7149236  -3.1092267   0.1523471
   0.33516484  1.956126  ]]"
32,201128402010021,0830191501,47,61585.23,PNS,"[[ 0.56160331  0.38983051  0.01694915  0.          0.          0.
   0.          1.10026965 -0.01824856 -0.49488047 -0.13782659  0.25549546
   0.15789474  2.17255199]]"
33,202124808010010,0830191501,20,59750.82,PNS,"[[ 0.55824393  0.3220339   0.05084746  0.          0.          0.
   0.          1.15230904  0.59494073  0.23742681 16.61320114  0.21776754
   0.24561404  2.02354666]]"
34,208301914010027,0830191501,10,59750.82,PNX,"[[ 0.31033459  0.23728814  0.01694915  0.          0.          0.
   0.          1.77758344  0.54849014 -0.65169981  7.73976612  0.18138728
   0.21052632  2.32630894]]"
35,201128402010044,0830191501,32,59754.5,PNS,"[[ 5.82341433e-01  2.20338983e-01  1.69491525e-02  1.69491525e-02
   0.00000000e+00  0.00000000e+00  0.00000000e+00  1.50630923e+00
   5.09602687e-01  6.70083805e-01 -2.30856476e+01  2.01128393e-01
   2.10526316e-01  2.20128851e+00]]"
36,208244509010015,0852030101,44,68881.8,PNX,"[[0.61560869 0.28282828 0.03030303 0.01010101 0.         0.
  0.         1.43982534 0.72255829 1.26699759 1.13978231 0.11980365
  0.28865979 2.19618643]]"
37,201042601010049,0824450501,140,66812.61,PNX,"[[ 1.56745625e+00  1.14754098e-01  7.65027322e-02  2.73224044e-02
   1.09289617e-02  0.00000000e+00  0.00000000e+00  9.39241390e-01
   2.36370251e+00  6.12212952e+00 -2.02272701e+01  1.83989406e-01
   5.19337017e-01  1.20842145e+00]]"
38,201042601010142,0824450501,136,77993.75,PNS,"[[ 1.05375075e+00  1.47368421e-01  6.31578947e-02  1.57894737e-02
   5.26315789e-03  0.00000000e+00  0.00000000e+00  8.05840422e-01
   1.73948503e+00  3.29767722e+00 -2.79534645e+01  2.32442036e-01
   5.21276596e-01  9.59273815e-01]]"
39,201042601010139,0824450501,106,77993.75,PNS,"[[ 1.54961324e+00  1.10526316e-01  6.31578947e-02  3.15789474e-02
   1.57894737e-02  0.00000000e+00  0.00000000e+00  7.29932415e-01
   2.46041817e+00  6.33477653e+00 -4.23205719e+01  2.25439608e-01
   4.73404255e-01  1.22493253e+00]]"
40,201118502010012,0165770201,14,55267.22,PNX,"[[ 8.63274813e-01  2.36559140e-01  4.30107527e-02  3.22580645e-02
   1.07526882e-02  0.00000000e+00  0.00000000e+00  1.04526144e+00
   1.62064772e+00  3.56576608e+00 -1.59176064e+01  2.32915848e-01
   4.39560440e-01  1.51880708e+00]]"
41,208225301010082,0822530101,82,51041.96,PNS,"[[ 9.63050306e-01  4.26035503e-01  4.14201183e-02  5.91715976e-03
   5.91715976e-03  0.00000000e+00  0.00000000e+00  1.61103359e+00
   9.91391732e-01  1.03115021e+00 -4.91302948e+01  2.30674416e-01
   6.76646707e-01  6.33361819e-01]]"
42,207843302010042,0784330201,42,82931.41,PNS,"[[ 1.32838249e+00  1.40794224e-01  5.41516245e-02  2.52707581e-02
   3.61010830e-03  0.00000000e+00  0.00000000e+00  1.02418674e+00
   1.95308223e+00  4.02221836e+00 -5.11819382e+01  1.87473446e-01
   6.61818182e-01  1.08348160e+00]]"
43,207843302010074,0784330201,74,82908.01,PNS,"[[ 1.40313435e+00  1.39860140e-01  5.94405594e-02  2.79720280e-02
   6.99300699e-03  0.00000000e+00  0.00000000e+00  9.30751890e-01
   2.05204864e+00  4.18097779e+00 -5.13982773e+01  1.03242338e-01
   6.69014085e-01  8.33883440e-01]]"
