,SRCID,OBSID,SRC_NUM,EP_ONTIME,INST,PN_RATE,CONF_DT50,CONF_DT250,CONF_DT1000
1220,201125227010058,0824610301,126,78305.92,PNU,0.015647434,0.99999726,0.9999937,1.0
1221,208112127010147,0811212701,147,71093.47,PNS,0.014009987,0.99999976,0.9999889,1.0
1222,208627302010049,0862730601,15,65690.32,PNS,0.010517647,1.0,0.9999975,1.0
1223,201108901010005,0673580101,5,85010.2,PNX,0.015420984,0.9999951,0.99996674,1.0
1224,201042601010084,0824450501,21,77998.95,PNS,0.026219005,0.9999989,0.9999864,1.0
1225,208244505010164,0824450501,164,77996.35,PNX,0.01217109,0.9999999,0.9999981,1.0
1226,208627305010013,0862730501,13,65024.58,PNU,0.012226338,1.0,0.99997985,1.0
1227,207611010010214,0790380601,89,116691.4,PNS,0.010360917,0.9999999,0.99995816,1.0
1228,201111202010026,0305540701,14,58783.4,PNS,0.16007288,1.0,1.0,1.0
1229,208003801010034,0800380101,34,76532.73,PNX,0.0120899575,0.9999994,0.9999963,1.0
1230,201473301010071,0723801601,32,79643.17,PNS,0.013890161,0.99999905,0.99996793,1.0
1231,200928001010008,0092800201,9,76811.78,PNS,0.011684273,0.9999999,0.9999776,1.0
1232,207637204010065,0763720301,48,72922.17,PNX,0.01037844,0.9999976,0.99998295,1.0
1233,201129707010052,0202670601,48,74097.41,PNS,0.014186967,0.9999995,0.9999536,1.0
1234,207615501010139,0761550101,121,77334.29,PNX,0.012260678,0.99999666,0.99998283,1.0
1235,201458001010016,0145800101,17,60003.4,PNU,0.01002421,0.99999607,0.9999831,1.0
1236,201489601010043,0148960101,42,55796.05,PNS,0.01495981,1.0,0.9999945,1.0
1237,203040501010061,0304050101,59,50076.75,PNS,0.010442005,0.9999976,0.9999008,1.0
1238,201122906010034,0500750101,63,65036.39,PNS,0.013946651,0.9999964,0.99998665,1.0
1239,207637204010038,0763720301,38,72893.59,PNS,0.012165967,0.999997,0.9999424,1.0
1240,201489601010075,0148960101,68,55796.05,PNS,0.012863313,1.0,0.999997,1.0
1241,201490102010024,0149010201,23,54757.95,PNX,0.010010443,0.9999999,0.9999355,1.0
1242,201513701010036,0692840501,22,117837.2,PNX,0.010034468,0.9999988,1.0,1.0
1243,203002702010043,0300270201,45,75903.66,PNS,0.016539415,0.99999774,0.99998116,1.0
1244,207619204010023,0761920401,21,63051.14,PNX,0.011625575,0.9999976,0.9999342,1.0
1245,201485605010026,0148560501,25,63355.13,PNU,0.011353466,0.99999964,0.9999895,1.0
1246,203004803010028,0761500201,28,72408.98,PNX,0.01296172,0.99999964,0.99995506,1.0
1247,201092707010089,0763120201,55,66196.37,PNS,0.012084399,1.0,1.0,1.0
1248,201489601010041,0148960101,41,55809.08,PNS,0.014628595,0.9999999,0.999998,1.0
1249,201109903010011,0844860601,8,75799.28,PNS,0.045699056,1.0,1.0,1.0
1250,206578201010061,0831790701,63,102427.0,PNS,0.011655293,0.99999917,0.99999475,1.0
1251,206578201010013,0831790701,28,102427.0,PNS,0.01100623,0.99999976,0.9999924,1.0
1252,208317907010072,0831790701,72,102428.7,PNS,0.011737546,0.99999964,0.9999882,1.0
1253,201080604010017,0604960301,10,99382.38,PNX,0.022556223,0.9999999,0.9999949,1.0
1254,208046801010010,0804680101,10,104378.7,PNS,0.014056602,1.0,0.9999988,1.0
1255,201125219010085,0824610201,60,77840.56,PNS,0.014338691,0.99999845,0.99998105,1.0
1256,201122802010014,0824450201,18,84952.4,PNS,0.015145916,0.9999924,0.99996305,1.0
1257,208005801010038,0800580201,45,70513.3,PNX,0.010775439,0.9999968,0.99993145,1.0
1258,208627302010069,0862730601,90,65703.68,PNS,0.010163978,0.9999999,0.9999759,1.0
1259,208244505010117,0824450501,117,77998.95,PNX,0.0152854435,1.0,0.99999964,1.0
1260,207843302010024,0784330201,24,82923.59,PNS,0.012835703,0.9999975,0.99999595,1.0
1261,207843302010011,0784330201,11,82913.21,PNX,0.013465578,0.9999956,0.9999721,1.0
1262,206555712010051,0841480801,44,68976.71,PNS,0.0141394045,0.99999106,0.9999038,1.0
1263,208043010010149,0804301001,149,77617.77,PNX,0.010227229,0.9999995,0.9999856,1.0
1264,207238016010018,0723801601,18,79193.36,PNX,0.012866005,0.99999976,0.9999707,1.0
1265,201513701010069,0505140501,65,67678.0,PNX,0.013651881,0.9999999,0.9999777,1.0
1266,201513701010043,0505140501,41,67696.2,PNX,0.014385774,0.9999987,0.9999119,1.0
1267,207444503010087,0744450301,94,86576.75,PNS,0.011252828,0.9999999,0.99999833,1.0
1268,207610701010043,0761070101,42,74180.0,PNS,0.010597973,0.99999976,0.9999968,1.0
1269,201092707010075,0763120201,80,68949.05,PNS,0.015125735,1.0,0.99990237,1.0
1270,201125506010067,0761630301,80,90347.4,PNX,0.015936213,0.99999857,0.99996054,1.0
1271,201489601010060,0148960101,61,55746.7,PNS,0.011226049,1.0,0.9999993,1.0
1272,201239001010012,0147800101,10,101319.0,PNS,0.01772065,0.99999285,0.99992776,1.0
1273,201108901010038,0673580101,17,84983.2,PNS,0.010230191,0.99999535,0.9999827,1.0
1274,201502801010010,0764770101,15,66657.34,PNX,0.0140960505,0.99999964,0.99998224,1.0
1275,203029001010071,0500750101,36,65020.79,PNX,0.015226699,0.99999666,0.9999671,1.0
1276,201128002010038,0791010301,26,63973.0,PNS,0.01282965,0.9999982,0.9999722,1.0
1277,201504706010019,0743830501,13,102163.0,PNX,0.01103486,0.99999976,0.99999964,1.0
1278,208019505010034,0801950401,27,101233.1,PNX,0.010045401,1.0,0.99999857,1.0
