OBSID,Real Label,Pred Label,P1,P2
0651790201,0,1,0.000734487,0.999265492
0124710801,1,1,0.00073576,0.999264181
0112551701,0,1,0.324213803,0.675786197
0870830401,0,1,0.004587364,0.995412648
0725200301,0,1,0.471252918,0.528747141
0803670601,0,1,0.00333179,0.99666816
0761630201,0,1,0.000114041,0.999885917
0200670301,0,1,0.002681571,0.997318447
0200670401,0,1,0.002186928,0.997813106
0691570101,0,1,0.00116942,0.998830616
0864330201,0,1,0.024551667,0.97544837
0870830101,0,1,0.003535093,0.996464849
0862760201,0,1,0.003600988,0.996399045
0864560101,1,1,2.73E-05,0.999972701
0864330401,0,1,0.125229836,0.874770224
0500730201,0,1,0.013338388,0.986661613
0500730101,0,1,0.00143447,0.998565614
0551870601,0,1,0.013078397,0.986921668
0805080401,0,1,0.034055628,0.965944409
0306630101,0,1,0.023975972,0.976023972
0304190101,0,1,2.39E-05,0.999976158
0111790101,0,1,0.356012553,0.643987477
0510011501,0,1,0.000188113,0.999811947
0803670501,0,1,0.002765689,0.997234285
0740960101,0,1,0.063695438,0.936304569
0551450101,0,1,0.008379467,0.991620541
0823680101,1,1,5.56E-05,0.999944448
0891800601,0,1,0.006128611,0.993871331
0603260201,0,1,0.000227921,0.999772131
0411980101,0,1,0.021475917,0.978524089
0790650101,0,0,0.559235871,0.440764129
0200920101,0,1,0.001263843,0.998736203
0794581201,0,1,0.003188728,0.996811211
0411980401,1,1,0.013587805,0.986412168
0401360301,0,1,0.019249216,0.980750799
0761630301,0,1,0.000721661,0.999278367
0725200101,0,0,0.718819499,0.281180501
0803671001,0,1,0.001531104,0.998468816
0556090101,0,1,0.006428675,0.993571281
0306630201,0,1,0.008135429,0.991864562
0551870401,0,1,0.000101755,0.999898195
0784510301,0,1,0.001099202,0.998900771
0870830201,0,1,0.000807543,0.999192417
0861910301,1,1,0.004523712,0.995476305
0311190101,0,1,0.387663841,0.612336159
0805080501,0,1,0.015504151,0.984495878
0145800101,0,1,0.002120281,0.997879744
0893810501,1,1,0.000106156,0.999893785
0864330301,0,1,0.052848727,0.947151244
0851180401,1,1,1.71E-05,0.999982834
0401360201,0,1,0.01364685,0.986353159
0864330101,1,1,0.006938369,0.993061602
0112550601,0,1,0.00014663,0.999853373
0803671101,0,1,0.014684277,0.9853158
0861910201,1,1,1.93E-06,0.999998093
0831790701,1,1,0.000239811,0.999760211
0842340201,0,1,0.028352387,0.97164762
0152170501,0,1,0.041059963,0.958940029
0872390101,1,1,3.89E-05,0.999961138
0761630101,0,1,0.00192159,0.998078465
0200670101,0,1,0.004588886,0.995411098
0851180501,1,1,1.91E-05,0.999980807
0200670201,0,1,0.002982517,0.997017503
0401360101,0,1,0.008206476,0.991793454
0870830301,0,1,0.001155287,0.998844743
0657820101,0,1,0.385047197,0.614952803
