,Seg,Amplitude,Duration
0,0124710801_e1.lc,-3.607997036459779e-11,1997.5777840076805
1,0823680101_e1.lc,5.663421413629225,1925.3009640131581
2,0823680101_e2.lc,-3.102168841252637e-11,2003.3880472414726
3,0831790701_e1.lc,-2.4346167208860778e-11,1994.0152787616094
4,0831790701_e2.lc,5.627173024858641,2025.8586644751958
5,0831790701_e3.lc,-1.6693498418697887e-11,2000.3409866407926
6,0831790701_e4.lc,-1.0298088920217118e-10,1990.9989796213233
7,0831790701_e5.lc,-8.26247776737204e-11,1995.443247033406
8,0851180401_e1.lc,-1.1539741442577836e-10,2000.226553246498
9,0851180401_e2.lc,7.631580554724078,2185.7898718617453
10,0851180401_e3.lc,-3.5349511676775546e-11,1990.0446943107195
11,0851180401_e4.lc,6.218461215116655,2176.781339661684
12,0851180401_e5.lc,-1.1471153160827101e-10,2005.527233399849
13,0851180501_e1.lc,-3.2383951196082883e-10,1996.4212559831226
14,0851180501_e2.lc,12.02856096785057,1426.3448041325282
15,0851180501_e3.lc,17.417193404612625,1245.4961014940004
16,0864330101_e1.lc,-1.4399032007373669e-11,1994.824189823903
17,0864330101_e2.lc,-7.394252083172843e-11,2008.6068306280422
18,0864330101_e3.lc,1.8841540645773063,2229.3103847400453
19,0864330101_e4.lc,-4.5280623792552915e-11,1999.4245260075634
20,0864560101_e1.lc,4.25367712198385,1110.8443302776882
21,0864560101_e2.lc,-2.4090966897109814e-10,2004.3985614037683
22,0864560101_e3.lc,-5.2259878366716866e-11,2006.6792718648312
23,0864560101_e4.lc,-1.8442671200786607e-10,1994.036575107521
24,0864560101_e5.lc,10.882836512015352,1327.925491850613
25,0864560101_e6.lc,-1.8656204921257762e-10,1989.720031841067
26,0864560101_e7.lc,11.375634768469256,1461.3101888881247
27,0864560101_e8.lc,11.83540773532333,1275.0117879972672
