,Seg,Amplitude,Duration
0,0124710801_e1.lc,7.73539574140637,1299.8807974838141
1,0411980401_e1.lc,1.0996638385570312,710.5737799630132
2,0823680101_e1.lc,5.663416733197453,1925.3042326075813
3,0823680101_e2.lc,7.598667047827744,2066.1165613308717
4,0831790701_e1.lc,6.000400101882022,2047.939642717969
5,0831790701_e2.lc,5.627175901032671,2025.858137908312
6,0831790701_e3.lc,7.415374144766268,2036.517586065846
7,0831790701_e4.lc,5.186091899201968,2034.0010065591455
8,0831790701_e5.lc,5.902244356579296,2087.143723981278
9,0851180401_e1.lc,9.656038290452136,1996.2811440229948
10,0851180401_e2.lc,7.631580932501288,2185.789332506297
11,0851180401_e3.lc,6.951862481825121,2050.5665173429998
12,0851180401_e4.lc,6.218464269178702,2176.777381071553
13,0851180401_e5.lc,6.466093598097215,2235.9361575885155
14,0851180501_e1.lc,13.195820360153835,1223.5986831274479
15,0851180501_e2.lc,12.02856206112192,1426.3448035258962
16,0851180501_e3.lc,17.417194833322124,1245.4958451747343
17,0864330101_e1.lc,1.4523101699087202,1452.1203663656763
18,0864330101_e2.lc,1.0535100020177792,1897.0547917042734
19,0864330101_e3.lc,1.884146760631645,2229.328765981463
20,0864330101_e4.lc,1.506489160379866,1572.5353379702901
21,0864560101_e1.lc,4.253678686972631,1110.8433249455732
22,0864560101_e2.lc,10.42427828086959,1507.2063527148514
23,0864560101_e3.lc,9.79268626359168,1361.3039830681741
24,0864560101_e4.lc,9.225906659224446,1021.6174812788735
25,0864560101_e5.lc,10.882830553166157,1327.9263276085562
26,0864560101_e6.lc,10.627617544851335,1243.0673668453364
27,0864560101_e7.lc,11.37563460167463,1461.3100232203526
28,0864560101_e8.lc,11.835405718872972,1275.011664594674
29,eRO-QPE1,294.0,27360.0
30,eRO-QPE2,11.0,1620.0
