,SRCID,OBSID,SRC_NUM,EP_ONTIME,INST,FEAT_VALS
37,201042601010049,0824450501,140,66812.61,PNX,"[  0.29268293   0.02439024   0.           0.           0.71095956
   1.60458353   2.2506701  -14.2330389 ]"
38,201042601010142,0824450501,136,77993.75,PNS,"[ 0.13953488  0.02325581  0.02325581  0.          0.64912399  2.80344636
  9.47122071 -7.50242901]"
39,201042601010139,0824450501,106,77993.75,PNS,"[ 0.13953488  0.02325581  0.02325581  0.          0.84471472  2.29321512
  6.50282329 -9.60312557]"
40,201118502010012,0165770201,14,55267.22,PNX,"[ 0.34782609  0.          0.          0.          1.45123741  0.75795346
 -0.50216674  3.10259247]"
41,208225301010082,0822530101,82,51041.96,PNS,"[  0.29268293   0.           0.           0.           1.31183239
   0.9476573    0.13015658 -20.56705093]"
42,207843302010042,0784330201,42,82931.41,PNS,"[ 2.00000000e-01  1.53846154e-02  0.00000000e+00  0.00000000e+00
  1.36816990e+00  1.35942917e+00  1.37066081e+00 -1.74993248e+01]"
43,207843302010074,0784330201,74,82908.01,PNS,"[ 1.26760563e-01  1.40845070e-02  0.00000000e+00  0.00000000e+00
  9.84621300e-01  1.85012016e+00  2.97769300e+00 -1.56697025e+01]"
44,208627305010008,0862730501,8,57644.58,PNU,"[  0.32258065   0.           0.           0.           1.25030154
   0.31773808  -0.16901787 -11.25957394]"
45,208405801010012,0840580101,12,89817.38,PNS,"[ 3.02631579e-01  1.31578947e-02  0.00000000e+00  0.00000000e+00
  1.12834661e+00  7.74595158e-01  6.81074578e-01 -3.16181564e+01]"
46,201099301015008,0723801501,12,118036.6,PNS,"[  0.27941176   0.           0.           0.           1.30072309
   0.43301245   0.12949161 -10.80122757]"
47,200911404010006,0841481301,4,92314.44,PNS,"[ 0.34782609  0.          0.          0.          1.36323057 -0.15775827
 -0.62647159 -7.91684484]"
48,201506103010001,0790590101,2,53345.07,PNS,"[ 0.4         0.          0.          0.          0.78948608  0.24598067
 -0.22881117 -2.41319585]"
49,204016703010003,0740970101,7,56556.69,PNS,"[ 0.27272727  0.          0.          0.          0.99867289  0.07575082
 -0.23026855 -4.05835152]"
50,206569901015008,0790380501,32,77654.91,PNS,"[ 0.2         0.          0.          0.          1.68755042  0.45174885
 -1.65711589  4.67346954]"
51,206569901015008,0790380501,32,77654.91,PNX,"[ 0.28125     0.          0.          0.          1.18441547  1.03308765
 -0.09821724  5.70355654]"
52,206569901015008,0790380501,32,77654.91,PNU,"[ 0.2173913   0.          0.          0.          1.09331297  1.0282308
 -0.18742595 13.44140434]"
53,207611001010127,0790380601,104,96260.79,PNS,"[0.25333333 0.02666667 0.         0.         1.14184025 1.52039686
 2.05952791 1.37244976]"
54,207611001010107,0790380501,96,77809.05,PNX,"[ 0.18181818  0.03030303  0.          0.          0.715349    1.72468728
  2.13771929 -6.90341187]"
55,207611001010107,0790380501,96,77809.05,PNS,"[ 0.2         0.          0.          0.          0.17522137  1.47215526
  0.21162504 -0.46905878]"
56,207611001010107,0790380501,96,77809.05,PNU,"[ 0.31034483  0.          0.          0.          1.76807429  0.61466973
 -0.85896962 15.0267086 ]"
57,202015001010002,0742050101,4,106779.4,PNX,"[ 0.12222222  0.02222222  0.          0.          0.71862342  1.97755494
  3.4606023  13.91096306]"
58,201110702010007,0152620101,13,53229.05,PNX,"[ 0.14285714  0.02857143  0.          0.          0.93663125  1.70961333
  2.28995489 25.29660797]"
59,206031901010004,0770180401,4,50548.71,PNS,"[ 0.5         0.          0.          0.          1.64405271  0.55042203
 -1.41005888 -2.82087374]"
60,206940301010006,0694030101,6,54015.48,PNS,"[ 0.32        0.          0.          0.          1.25808492 -0.31195709
 -0.24630534 -0.50373727]"
61,206904418010109,0690441801,109,81569.24,PNS,"[  0.30555556   0.           0.           0.           1.28848961
  -0.02934851  -0.23242454 -10.54583645]"
