,SRCID,OBSID,SRC_NUM,EP_ONTIME,INST,PN_RATE,CONF_DT50,CONF_DT250,CONF_DT1000
764,208449301010024,0844930101,24,71318.0,PNX,0.0109025715,0.92044055,1.0,1.0
765,207623601010003,0762360101,2,74695.38,PNS,0.024122955,0.93660027,1.0,1.0
766,201125506010040,0761630201,28,94888.71,PNX,0.019921316,0.94282967,1.0,0.9999895
767,207252401010064,0761550201,30,80739.45,PNX,0.010164398,0.95565796,1.0,1.0
768,202012701010038,0201270101,28,52322.4,PNX,0.027219335,0.919839,1.0,1.0
769,207252401010047,0761550201,26,80690.04,PNS,0.010183185,0.9234422,1.0,1.0
770,203002702010053,0300270201,55,76070.77,PNS,0.015724614,0.9189361,0.9984932,0.9998018
771,201489601010099,0148960101,104,55746.7,PNS,0.011754565,0.9589692,1.0,0.9967141
772,206010101010042,0844860701,15,92557.39,PNS,0.018058114,0.92087,0.9999224,0.99998116
773,208236801010084,0831790701,100,102415.7,PNS,0.010750658,0.91700625,1.0,0.99499196
774,201080604010011,0604960301,13,99410.99,PNS,0.023782626,0.9686414,1.0,1.0
775,207216201010045,0761920901,24,51573.6,PNX,0.012112488,0.9578501,0.9980128,1.0
776,201122802010035,0824450201,40,84994.0,PNS,0.0112816775,0.9244402,0.9999808,0.9943627
777,207643702010057,0764370201,73,63082.38,PNS,0.0110027725,0.91004455,1.0,0.9918873
778,201010401010026,0741280201,19,86262.8,PNX,0.015260331,0.9444328,1.0,0.994726
779,201080604010003,0604960901,7,80277.58,PNX,0.013346517,0.93253815,1.0,0.9994869
780,205557801010075,0604960301,73,99382.38,PNS,0.010444657,0.9762288,1.0,1.0
781,201489601010054,0148960101,51,55796.05,PNX,0.010135556,0.97415054,1.0,1.0
782,203004803010087,0761500201,54,72389.19,PNX,0.011334215,0.92094153,1.0,0.99787056
783,207409601010149,0831790701,91,102408.8,PNS,0.010981443,0.90679497,1.0,0.99999774
784,201068601010017,0803990301,4,98109.76,PNX,0.06164706,0.9673939,1.0,1.0
785,201080604010002,0604960301,2,99392.78,PNX,0.071417294,0.96560794,1.0,1.0
786,207812103010005,0781210301,5,66177.83,PNS,0.02951489,0.92144233,1.0,1.0
787,207444002010039,0744400201,39,58889.99,PNX,0.010393684,0.93853825,1.0,0.999997
788,202038101010029,0300270201,26,76070.78,PNX,0.017806327,0.9142857,1.0,0.98689693
789,208039104010085,0803910401,85,85089.37,PNS,0.012076427,0.92101306,1.0,1.0
790,204008002010038,0840580401,32,105372.8,PNX,0.010077956,0.91742945,1.0,0.99999
791,206569901010012,0790380801,10,109618.4,PNS,0.024766438,0.90130717,0.9999919,0.9998258
792,207216201010057,0761920901,26,51573.6,PNX,0.011111676,0.91541815,0.99980086,0.9999913
793,201513701010044,0505140501,59,67696.2,PNX,0.012617044,0.93530214,1.0,1.0
794,201480901010013,0744600101,13,88632.0,PNX,0.011336199,0.95637846,1.0,1.0
795,201527802010016,0152780201,18,60650.94,PNS,0.011137695,0.94336945,0.9999703,0.960572
796,200563401010015,0502120101,15,90147.2,PNX,0.014654722,0.9226928,1.0,1.0
797,201481701010032,0148170101,29,67711.02,PNX,0.012255743,0.96668875,1.0,0.9959967
798,208317907010157,0831790701,157,102428.7,PNS,0.01096387,0.91764104,0.9984469,0.9996773
799,208039104010057,0803910401,57,85089.38,PNS,0.012620794,0.95300126,1.0,1.0
800,202124802010107,0824450501,94,77991.16,PNS,0.014932376,0.92634153,1.0,1.0
801,208627305010012,0862730501,12,65024.58,PNU,0.012297405,0.90418607,1.0,1.0
802,206719301010008,0671930101,8,107380.0,PNX,0.022465391,0.9159212,0.95734966,1.0
803,205557801010078,0604960301,99,99382.38,PNS,0.010137444,0.983648,1.0,1.0
804,203029001010045,0500750101,51,65062.39,PNS,0.012280486,0.93085545,0.9999951,1.0
805,207412802010083,0741280201,79,86239.4,PNS,0.012307826,0.93770903,1.0,1.0
806,201066601010009,0106660601,8,92251.09,PNX,0.014564867,0.9223659,1.0,1.0
807,202001301010065,0761630201,43,94828.89,PNS,0.013004398,0.94282967,1.0,1.0
808,201239001010019,0147800101,19,101313.8,PNS,0.013378824,0.9244402,1.0,1.0
