,SRCID,OBSID,SRC_NUM,EP_ONTIME,INST,FEAT_VALS
24,208039103010027,0803910301,27,75332.39,PNS,"[[ 0.965496    0.2295082   0.06557377  0.          0.          0.
   0.          1.23537376  1.14948334 -0.00998984  3.20341277  0.10656493
   0.71186441  0.59238088]]"
25,200517601010033,0744440401,16,67883.98,PNX,"[[  1.02564096   0.1375       0.1          0.           0.
    0.           0.           0.93409215   1.52169008   1.13439677
  -32.01256943   0.15730502   0.78205128   0.54322401]]"
26,205560301010021,0651610101,34,84332.83,PNS,"[[ 0.99294204  0.09210526  0.05263158  0.02631579  0.01315789  0.
   0.          0.61958952  3.00840214  9.89358935 -4.17374611  0.28368211
   0.54054054  0.63015546]]"
27,203020302015021,0840580401,51,105398.8,PNS,"[[ 7.66785502e-01  1.89189189e-01  6.75675676e-02  1.35135135e-02
   0.00000000e+00  0.00000000e+00  0.00000000e+00  8.74967741e-01
   1.49406950e+00  1.68067940e+00 -1.75111599e+01  2.34939352e-01
   5.69444444e-01  8.26130348e-01]]"
28,208414814010030,0841481401,30,71816.62,PNX,"[[ 0.58612323  0.33333333  0.          0.          0.          0.
   0.          1.1105021   0.74531797 -0.69801157  4.10514641  0.20947438
   0.5         1.38227913]]"
29,208414814010030,0841481401,30,71816.62,PNU,"[[  0.51935536   0.33333333   0.05555556   0.           0.
    0.           0.           0.35063668   0.98760726   0.45893505
  -10.6556921    0.08672971   0.5625       1.45108158]]"
30,201108901010012,0792180301,3,112801.7,PNS,"[[0.35772884 0.38095238 0.03571429 0.01190476 0.         0.
  0.         1.44783648 0.58083747 1.0860055  3.29481006 0.16135922
  0.2804878  2.19660728]]"
31,201108901010012,0792180301,3,112801.7,PNX,"[[0.36434761 0.35555556 0.03333333 0.01111111 0.         0.
  0.         1.45147763 0.65488521 1.09448337 3.3846209  0.19672769
  0.31818182 2.09647154]]"
32,201128402010021,0830191501,47,61585.23,PNS,"[[ 0.25666919  0.42857143  0.07142857  0.          0.          0.
   0.          1.67844628 -0.38788925 -0.8483725   3.86133909  0.14669527
   0.33333333  1.14447155]]"
33,202124808010010,0830191501,20,59750.82,PNS,"[[ 0.2327335   0.21428571  0.14285714  0.          0.          0.
   0.          0.84142845  0.18987002  0.70670008 -7.09283304  0.24218689
   0.          1.67590363]]"
34,208301914010027,0830191501,10,59750.82,PNX,"[[ 0.15664503  0.28571429  0.07142857  0.          0.          0.
   0.          1.23608779  0.35546581 -0.35552238  3.48711586  0.26128247
   0.16666667  1.95835906]]"
35,201128402010044,0830191501,32,59754.5,PNS,"[[ 0.24111483  0.42857143  0.          0.          0.          0.
   0.          1.76609097 -0.16846203 -1.25801998 -6.08339787  0.17676553
   0.16666667  1.2652262 ]]"
36,208244509010015,0852030101,44,68881.8,PNX,"[[ 0.32535824  0.375       0.04166667  0.          0.          0.
   0.          1.46751136  0.60165406 -0.27618092  3.74017191  0.17403109
   0.09090909  2.45775078]]"
37,201042601010049,0824450501,140,66812.61,PNX,"[[  0.97464931   0.29268293   0.07317073   0.02439024   0.
    0.           0.           0.71095956   1.60458353   2.2506701
  -14.2330389    0.01504873   0.53846154   1.14101095]]"
38,201042601010142,0824450501,136,77993.75,PNS,"[[ 0.77826637  0.13953488  0.02325581  0.02325581  0.02325581  0.
   0.          0.64912399  2.80344636  9.47122071 -7.50242901  0.20651406
   0.48780488  1.95546657]]"
39,201042601010139,0824450501,106,77993.75,PNS,"[[ 1.05091178  0.13953488  0.02325581  0.02325581  0.02325581  0.
   0.          0.84471472  2.29321512  6.50282329 -9.60312557  0.20192409
   0.46341463  1.95853153]]"
40,201118502010012,0165770201,14,55267.22,PNX,"[[ 0.42410299  0.34782609  0.08695652  0.          0.          0.
   0.          1.45123741  0.75795346 -0.50216674  3.10259247  0.2347182
   0.38095238  1.31921926]]"
41,208225301010082,0822530101,82,51041.96,PNS,"[[  0.8322404    0.29268293   0.09756098   0.           0.
    0.           0.           1.31183239   0.9476573    0.13015658
  -20.56705093   0.28561893   0.58974359   0.70351807]]"
42,207843302010042,0784330201,42,82931.41,PNS,"[[ 9.46294427e-01  2.00000000e-01  4.61538462e-02  1.53846154e-02
   0.00000000e+00  0.00000000e+00  0.00000000e+00  1.36816990e+00
   1.35942917e+00  1.37066081e+00 -1.74993248e+01  1.95500761e-01
   4.76190476e-01  1.69647172e+00]]"
43,207843302010074,0784330201,74,82908.01,PNS,"[[ 1.18509436e+00  1.26760563e-01  8.45070423e-02  1.40845070e-02
   0.00000000e+00  0.00000000e+00  0.00000000e+00  9.84621300e-01
   1.85012016e+00  2.97769300e+00 -1.56697025e+01  1.20854594e-01
   5.21739130e-01  1.27434108e+00]]"
44,208627305010008,0862730501,8,57644.58,PNU,"[[  0.21911539   0.32258065   0.03225806   0.           0.
    0.           0.           1.25030154   0.31773808  -0.16901787
  -11.25957394   0.20743869   0.48275862   0.94070814]]"
45,208405801010012,0840580101,12,89817.38,PNS,"[[ 3.12613159e-01  3.02631579e-01  3.94736842e-02  1.31578947e-02
   0.00000000e+00  0.00000000e+00  0.00000000e+00  1.12834661e+00
   7.74595158e-01  6.81074578e-01 -3.16181564e+01  3.34830172e-02
   4.32432432e-01  1.33866286e+00]]"
46,201099301015008,0723801501,12,118036.6,PNS,"[[  0.30488417   0.27941176   0.04411765   0.           0.
    0.           0.           1.30072309   0.43301245   0.12949161
  -10.80122757   0.16606615   0.12121212   2.33800871]]"
47,200911404010006,0841481301,4,92314.44,PNS,"[[ 0.26930726  0.34782609  0.02173913  0.          0.          0.
   0.          1.36323057 -0.15775827 -0.62647159 -7.91684484  0.34855089
   0.25        2.05907165]]"
48,201506103010001,0790590101,2,53345.07,PNS,"[[ 0.11758311  0.4         0.          0.          0.          0.
   0.          0.78948608  0.24598067 -0.22881117 -2.41319585  0.33305719
   0.25        2.21463448]]"
49,204016703010003,0740970101,7,56556.69,PNS,"[[ 0.28683674  0.27272727  0.02272727  0.          0.          0.
   0.          0.99867289  0.07575082 -0.23026855 -4.05835152  0.18698311
   0.35714286  2.03207614]]"
50,206569901015008,0790380501,32,77654.91,PNS,"[[ 0.66353244  0.2         0.          0.          0.          0.
   0.          1.68755042  0.45174885 -1.65711589  4.67346954  0.277509
   0.33333333  2.10548288]]"
51,206569901015008,0790380501,32,77654.91,PNX,"[[ 0.5958361   0.28125     0.0625      0.          0.          0.
   0.          1.18441547  1.03308765 -0.09821724  5.70355654  0.20138323
   0.4         1.68524348]]"
52,206569901015008,0790380501,32,77654.91,PNU,"[[ 0.76844347  0.2173913   0.04347826  0.          0.          0.
   0.          1.09331297  1.0282308  -0.18742595 13.44140434  0.1728868
   0.33333333  1.48448395]]"
53,207611001010127,0790380601,104,96260.79,PNS,"[[0.97149396 0.25333333 0.06666667 0.02666667 0.         0.
  0.         1.14184025 1.52039686 2.05952791 1.37244976 0.16834927
  0.34246575 1.72516189]]"
54,207611001010107,0790380501,96,77809.05,PNX,"[[ 1.05284178  0.18181818  0.06060606  0.03030303  0.          0.
   0.          0.715349    1.72468728  2.13771929 -6.90341187  0.21088676
   0.38709677  1.38283035]]"
55,207611001010107,0790380501,96,77809.05,PNS,"[[ 1.40851068  0.2         0.          0.          0.          0.
   0.          0.17522137  1.47215526  0.21162504 -0.46905878 -0.0917432
   0.66666667  1.7073116 ]]"
56,207611001010107,0790380501,96,77809.05,PNU,"[[ 0.79354823  0.31034483  0.03448276  0.          0.          0.
   0.          1.76807429  0.61466973 -0.85896962 15.0267086   0.14527467
   0.44444444  1.82557854]]"
57,202015001010002,0742050101,4,106779.4,PNX,"[[ 0.66790152  0.12222222  0.07777778  0.02222222  0.          0.
   0.          0.71862342  1.97755494  3.4606023  13.91096306  0.16562289
   0.78409091  0.81825822]]"
58,201110702010007,0152620101,13,53229.05,PNX,"[[ 0.7845853   0.14285714  0.08571429  0.02857143  0.          0.
   0.          0.93663125  1.70961333  2.28995489 25.29660797  0.25285727
   0.63636364  0.53230375]]"
59,206031901010004,0770180401,4,50548.71,PNS,"[[ 0.07566328  0.5         0.          0.          0.          0.
   0.          1.64405271  0.55042203 -1.41005888 -2.82087374  0.34735709
   0.25        2.95206274]]"
60,206940301010006,0694030101,6,54015.48,PNS,"[[ 0.28041071  0.32        0.04        0.          0.          0.
   0.          1.25808492 -0.31195709 -0.24630534 -0.50373727  0.30749166
   0.2173913   1.7315846 ]]"
61,206904418010109,0690441801,109,81569.24,PNS,"[[  0.26890892   0.30555556   0.05555556   0.           0.
    0.           0.           1.28848961  -0.02934851  -0.23242454
  -10.54583645   0.24380578   0.14705882   2.0784217 ]]"
62,201129716010009,0690441801,130,81569.24,PNS,"[[ 0.30742499  0.27777778  0.08333333  0.          0.          0.
   0.          1.38706111  0.46180323 -0.21552022 -2.32974386  0.13029006
   0.35294118  1.41274229]]"
63,207277801010045,0790380601,68,84651.17,PNS,"[[ 0.70732641  0.28947368  0.05263158  0.          0.          0.
   0.          1.2018322   1.08357202  0.34682601 -7.92160225  0.20359872
   0.28378378  1.5673923 ]]"
64,201129701010023,0784860101,31,85763.48,PNS,"[[ 0.75873089  0.2826087   0.06521739  0.          0.          0.
   0.          1.40802141  1.20023486  0.88966319 -1.72436106  0.2515924
   0.38636364  1.72645901]]"
65,208419201010006,0841920101,6,87934.95,PNX,"[[0.3625856  0.26530612 0.04081633 0.         0.         0.
  0.         1.39393392 0.19467457 0.20394648 2.23834872 0.29218718
  0.23404255 1.74732553]]"
66,203021501015015,0600040101,38,53119.14,PNX,"[[ 0.27173248  0.3         0.          0.          0.          0.
   0.          0.84385856 -0.12467732 -0.11622198  7.73798132  0.32591626
   0.          3.45270767]]"
67,206033801010001,0603380101,1,76414.82,PNS,"[[ 0.23732752  0.29032258  0.12903226  0.          0.          0.
   0.          1.04813533  0.94469842 -0.1000392  -0.15480132  0.14932644
   0.37931034  1.39005077]]"
68,205023601010008,0502360101,8,61527.04,PNX,"[[ 0.41984224  0.28571429  0.07142857  0.          0.          0.
   0.          1.02763239  0.90111834 -0.32423984 -4.11474371  0.31426775
   0.08333333  2.78616243]]"
69,201080604010022,0555780201,11,113438.0,PNS,"[[ 3.50011945e-01  3.21428571e-01  3.57142857e-02  1.19047619e-02
   0.00000000e+00  0.00000000e+00  0.00000000e+00  1.25336309e+00
   7.49651832e-01  1.14008929e+00 -2.60077457e+01  1.17335938e-01
   3.90243902e-01  1.83117908e+00]]"
70,207418201010220,0741820101,202,101565.3,PNS,"[[ 0.32411295  0.38888889  0.03703704  0.01851852  0.          0.
   0.          1.18140271  0.75659339  1.09484251 -6.49911213  0.1962081
   0.23076923  2.13204723]]"
