,SRCID,OBSID,SRC_NUM,EP_ONTIME,INST,PN_RATE,CONF_DT50,CONF_DT250,CONF_DT1000
65,207413004010008,0741300401,9,97102.2,PNX,0.007630299,0.99971634,0.99999857,0.9999734
66,204025610010060,0402561001,70,54504.47,PNX,0.006395311,0.99999857,0.99999964,0.9999186
67,201080605010081,0555782301,45,83210.37,PNX,0.0071713366,1.0,1.0,1.0
68,201112401010137,0111240101,145,97588.38,PNX,0.005215026,0.9999999,0.9999925,0.999879
69,200563401010033,0502120101,73,90165.41,PNX,0.006130295,0.9999956,0.9999989,0.9996568
70,206527203010112,0652720301,100,53297.39,PNX,0.014637615,0.9999535,0.9999964,1.0
71,201010401010126,0741280201,32,82772.2,PNX,0.011352495,0.99999356,0.999995,0.9991123
72,205026901010059,0502690201,57,64814.8,PNX,0.0059149913,0.9999994,1.0,0.99999607
73,206010101010045,0844860101,30,101163.4,PNX,0.0057567097,0.9999629,0.9999989,0.9998877
74,208448601010137,0844860101,137,101189.4,PNX,0.005054864,0.9999944,0.9999974,0.9997131
75,206734901010032,0673490101,32,54237.72,PNX,0.012826693,0.9999784,0.9999993,1.0
76,207409601010101,0831790701,166,102415.7,PNX,0.009037236,0.99999344,0.99999905,0.9995061
77,206935201010038,0693520101,38,112350.2,PNX,0.005307054,0.9999943,0.9999951,1.0
78,201080604010046,0555780101,45,101500.4,PNX,0.007479096,0.99999964,0.9999993,0.99971074
79,201080604015095,0555780801,31,90207.06,PNX,0.007897218,0.9999999,0.99999917,0.9992618
80,208045802010028,0804580201,28,57509.37,PNX,0.010188115,0.99998677,0.9999987,0.9990796
81,204010901010045,0401090101,45,61208.82,PNX,0.006214106,0.9999778,0.9999956,0.999974
82,208019501010037,0801950201,57,122896.2,PNX,0.0052836435,0.9998461,0.99998736,0.9999596
83,208019501010096,0801950401,60,101241.0,PNX,0.007706674,0.99999714,0.99999976,0.9999796
84,208808101010063,0880810201,69,93778.34,PNX,0.0074364743,0.99999666,0.9999993,0.9999609
85,200928001010098,0092800201,49,76811.78,PNX,0.005774362,1.0,0.9999999,0.99926156
86,205010401010033,0501040101,33,51123.8,PNX,0.0077118683,0.99999714,0.9999889,0.99991107
87,208830401010069,0883040101,69,66763.98,PNX,0.0057489825,0.9999987,0.9999957,0.9995988
88,201128102010002,0300430101,11,103911.6,PNX,0.010364984,0.99998665,0.9999974,0.9999639
89,205563001010030,0824450201,71,84973.2,PNX,0.00794458,0.9999907,0.99999964,0.9998066
90,207931836010009,0793183601,9,56678.35,PNX,0.010953948,0.9998354,0.999987,0.99995947
91,208039101010015,0803910101,15,86339.59,PNX,0.008259063,0.99920624,0.9999677,0.9991991
92,201090811010005,0841480401,43,55665.97,PNX,0.005027113,0.9999591,0.99991965,0.99950373
93,208709101010049,0870910301,39,99472.41,PNX,0.006104068,0.9999901,0.99994934,0.99993753
94,207416201010020,0804910101,42,65625.25,PNX,0.010703757,0.99999356,0.9999981,0.99999845
95,206719301010010,0671930101,10,107395.6,PNX,0.008372499,0.9999907,0.9999852,0.9999044
96,208217220010101,0821722001,101,104091.0,PNX,0.0070740376,0.9999697,0.99996257,0.99934334
97,201099502010035,0723800901,88,79234.98,PNX,0.00815051,0.99998534,0.9999875,0.9997516
98,201080605010100,0555780801,87,90201.85,PNX,0.0061564897,0.9999999,0.99999964,0.9997887
99,206941701010102,0694170101,113,113351.1,PNX,0.0060810638,0.9999994,0.9999995,0.99999976
100,206530401010093,0653040201,68,60317.4,PNX,0.00595009,0.9999988,0.99996245,0.9998951
101,206717001010059,0671700101,60,79258.38,PNX,0.0062876875,0.99999523,0.9999949,0.999146
102,201112401010086,0111240101,93,69176.34,PNX,0.005822787,0.9999962,0.99999475,0.9998982
103,201080604010025,0604960201,35,103376.0,PNX,0.005953355,0.99991274,0.9999865,0.9999906
104,200379810010007,0651770101,26,81101.84,PNX,0.0061655194,0.9999597,0.99991465,0.9994536
105,202027303010009,0504240101,11,81390.39,PNX,0.00804755,0.99936897,0.9999591,1.0
106,206941701010114,0694170101,118,113280.9,PNX,0.0060387272,1.0,1.0,0.99999976
107,207624701010010,0762470101,7,93737.77,PNX,0.0118515715,0.999666,0.9999912,1.0
108,207413005010035,0741300501,32,64143.09,PNX,0.006252803,0.9999676,0.99999416,0.9995191
109,201080604010011,0555780401,13,86431.79,PNX,0.016598502,0.99963844,0.9999809,0.99954623
