207409601010074,0740960101,83,207409601010074_0740960101_053
202039001010016,0203900101,15,202039001010016_0203900101_00F
207645301010133,0764530101,133,207645301010133_0764530101_085
207817801010088,0781780101,83,207817801010088_0781780101_053
208630502010091,0863050201,91,208630502010091_0863050201_05B
208019501010116,0801950101,116,208019501010116_0801950101_074
206710901010031,0861480101,73,206710901010031_0861480101_049
205062201015227,0506220101,200,205062201015227_0506220101_0C8
201130202010088,0406840301,39,201130202010088_0406840301_027
205017901010259,0501790101,259,205017901010259_0501790101_103
208229601010132,0822960101,132,208229601010132_0822960101_084
204053401010025,0822120401,28,204053401010025_0822120401_01C
208428115010054,0842811501,54,208428115010054_0842811501_036
201112904010020,0201940101,24,201112904010020_0201940101_018
208208301010145,0820830101,145,208208301010145_0820830101_091
208046801010026,0804680101,26,208046801010026_0804680101_01A
208046801010009,0804680101,9,208046801010009_0804680101_009
208046801010073,0804680101,73,208046801010073_0804680101_049
201126101010109,0745110101,60,201126101010109_0745110101_03C
208218002010093,0821800201,93,208218002010093_0821800201_05D
208005801010047,0800580101,47,208005801010047_0800580101_02F
208405803010053,0840580301,53,208405803010053_0840580301_035
208627302010063,0862730601,69,208627302010063_0862730601_045
201128402010010,0830191401,35,201128402010010_0830191401_023
208523901010125,0852390101,125,208523901010125_0852390101_07D
208414821010086,0841482101,86,208414821010086_0841482101_056
206920501010096,0692050101,94,206920501010096_0692050101_05E
201100107010133,0208000101,165,201100107010133_0208000101_0A5
208405801010097,0840580201,74,208405801010097_0840580201_04A
208405801010068,0840580101,68,208405801010068_0840580101_044
208511808010104,0851180801,104,208511808010104_0851180801_068
202042701015074,0802080101,56,202042701015074_0802080101_038
207611002010225,0790381501,67,207611002010225_0790381501_043
207611003010142,0790380901,113,207611003010142_0790380901_071
207824001010161,0782400101,161,207824001010161_0782400101_0A1
202045002010023,0560180401,12,202045002010023_0560180401_00C
207820801010082,0782080101,82,207820801010082_0782080101_052
205015801010057,0780690301,45,205015801010057_0780690301_02D
205015801010088,0721010401,39,205015801010088_0721010401_027
