Combo,Opt Acc.,Conf Range,80% Acc,80% Pur,80% Comp,90% Acc,90% Pur,90% Comp,95% Acc,95% Pur,95% Comp,99% Acc,99% Pur,99% Comp
"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12)",0.9375,"[0.9999929999999999, 0.999999]",0.6875,0.375,1.0,0.75,0.42857142857142855,1.0,0.78125,0.46153846153846156,1.0,0.796875,0.4782608695652174,0.9166666666666666
"(0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13)",0.96875,"[0.9999979999999999, 0.999999]",0.390625,0.22448979591836735,0.9166666666666666,0.421875,0.23404255319148937,0.9166666666666666,0.46875,0.25,0.9166666666666666,0.546875,0.28205128205128205,0.9166666666666666
"(0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13)",0.390625,"[1.0, 1.0]",0.21875,0.1935483870967742,1.0,0.234375,0.19672131147540983,1.0,0.25,0.2,1.0,0.265625,0.2033898305084746,1.0
"(0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13)",0.9375,"[0.9999819999999999, 0.999996]",0.265625,0.2033898305084746,1.0,0.34375,0.2222222222222222,1.0,0.34375,0.2222222222222222,1.0,0.40625,0.24,1.0
"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13)",0.71875,"[1.0, 1.0]",0.28125,0.19642857142857142,0.9166666666666666,0.28125,0.19642857142857142,0.9166666666666666,0.296875,0.2,0.9166666666666666,0.34375,0.21153846153846154,0.9166666666666666
"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13)",0.5,"[1.0, 1.0]",0.234375,0.19672131147540983,1.0,0.25,0.2,1.0,0.25,0.2,1.0,0.28125,0.20689655172413793,1.0
"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13)",0.9375,"[0.9997929999999999, 0.9999049999999999]",0.328125,0.21818181818181817,1.0,0.40625,0.24,1.0,0.40625,0.24,1.0,0.515625,0.27906976744186046,1.0
"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13)",0.40625,"[1.0, 1.0]",0.1875,0.1875,1.0,0.1875,0.1875,1.0,0.203125,0.19047619047619047,1.0,0.203125,0.19047619047619047,1.0
"(0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13)",0.90625,"[0.9997739999999999, 0.9999629999999999]",0.390625,0.23529411764705882,1.0,0.4375,0.25,1.0,0.484375,0.26666666666666666,1.0,0.515625,0.2682926829268293,0.9166666666666666
"(0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13)",0.96875,"[0.898183, 0.932757]",0.765625,0.44,0.9166666666666666,0.96875,0.9166666666666666,0.9166666666666666,0.9375,1.0,0.6666666666666666,0.828125,1.0,0.08333333333333333
"(0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13)",0.515625,"[1.0, 1.0]",0.1875,0.1875,1.0,0.203125,0.19047619047619047,1.0,0.234375,0.19672131147540983,1.0,0.296875,0.21052631578947367,1.0
"(0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13)",0.34375,"[1.0, 1.0]",0.21875,0.1935483870967742,1.0,0.21875,0.1935483870967742,1.0,0.234375,0.19672131147540983,1.0,0.265625,0.2033898305084746,1.0
"(0, 1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13)",0.328125,"[1.0, 1.0]",0.21875,0.1935483870967742,1.0,0.21875,0.1935483870967742,1.0,0.234375,0.19672131147540983,1.0,0.25,0.2,1.0
"(0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13)",0.546875,"[1.0, 1.0]",0.203125,0.19047619047619047,1.0,0.234375,0.19672131147540983,1.0,0.25,0.2,1.0,0.296875,0.21052631578947367,1.0
