Combo,Opt Acc.,Conf Range,80% Acc,80% Pur,80% Comp,90% Acc,90% Pur,90% Comp,95% Acc,95% Pur,95% Comp,99% Acc,99% Pur,99% Comp
"(0,)",0.8125,"[0.500001, 1.0]",0.8125,0.0,0.0,0.8125,0.0,0.0,0.8125,0.0,0.0,0.8125,0.0,0.0
"(10,)",0.8125,"[0.500001, 1.0]",0.8125,0.0,0.0,0.8125,0.0,0.0,0.8125,0.0,0.0,0.8125,0.0,0.0
"(11,)",0.875,"[0.25959699999999997, 0.992269]",0.859375,0.7142857142857143,0.4166666666666667,0.875,0.8333333333333334,0.4166666666666667,0.875,0.8333333333333334,0.4166666666666667,0.875,1.0,0.3333333333333333
"(12,)",0.8125,"[0.998628, 1.0]",0.140625,0.0784313725490196,0.3333333333333333,0.171875,0.08163265306122448,0.3333333333333333,0.1875,0.06521739130434782,0.25,0.265625,0.02702702702702703,0.08333333333333333
"(13,)",0.296875,"[1.0, 1.0]",0.171875,0.16393442622950818,0.8333333333333334,0.203125,0.1694915254237288,0.8333333333333334,0.203125,0.1694915254237288,0.8333333333333334,0.21875,0.14814814814814814,0.6666666666666666
"(1,)",0.890625,"[0.47963599999999995, 0.5]",0.8125,0.0,0.0,0.8125,0.0,0.0,0.8125,0.0,0.0,0.8125,0.0,0.0
"(2,)",0.84375,"[0.9069849999999999, 0.9197569999999999]",0.765625,0.4,0.5,0.8125,0.5,0.3333333333333333,0.796875,0.3333333333333333,0.08333333333333333,0.796875,0.0,0.0
"(3,)",0.953125,"[0.9638089999999999, 0.9828979999999999]",0.859375,0.6,0.75,0.859375,0.6,0.75,0.90625,0.75,0.75,0.90625,1.0,0.5
"(4,)",0.8125,"[0.500001, 1.0]",0.8125,0.0,0.0,0.8125,0.0,0.0,0.8125,0.0,0.0,0.8125,0.0,0.0
"(5,)",0.8125,"[0.500001, 1.0]",0.8125,0.0,0.0,0.8125,0.0,0.0,0.8125,0.0,0.0,0.8125,0.0,0.0
"(6,)",0.8125,"[0.500001, 1.0]",0.8125,0.0,0.0,0.8125,0.0,0.0,0.8125,0.0,0.0,0.8125,0.0,0.0
"(7,)",0.96875,"[0.832263, 0.9320609999999999]",0.953125,0.8461538461538461,0.9166666666666666,0.96875,1.0,0.8333333333333334,0.953125,1.0,0.75,0.9375,1.0,0.6666666666666666
"(8,)",0.96875,"[0.9819859999999999, 0.993996]",0.9375,0.7857142857142857,0.9166666666666666,0.9375,0.7857142857142857,0.9166666666666666,0.953125,0.8461538461538461,0.9166666666666666,0.96875,0.9166666666666666,0.9166666666666666
"(9,)",0.953125,"[0.9723849999999999, 0.996344]",0.859375,0.5789473684210527,0.9166666666666666,0.90625,0.6875,0.9166666666666666,0.921875,0.7692307692307693,0.8333333333333334,0.953125,0.9090909090909091,0.8333333333333334
