Combo,Opt Acc.,Conf Range,80% Acc,80% Pur,80% Comp,90% Acc,90% Pur,90% Comp,95% Acc,95% Pur,95% Comp,99% Acc,99% Pur,99% Comp
"(0,)",0.3333333333333333,"[0.999987, 0.999999]",0.17391304347826086,0.17391304347826086,1.0,0.17391304347826086,0.17391304347826086,1.0,0.17391304347826086,0.17391304347826086,1.0,0.17391304347826086,0.17391304347826086,1.0
"(10,)",0.8260869565217391,"[0.868537, 1.0]",0.4057971014492754,0.14634146341463414,0.5,0.8260869565217391,0.0,0.0,0.8260869565217391,0.0,0.0,0.8260869565217391,0.0,0.0
"(11,)",0.8260869565217391,"[0.500001, 1.0]",0.8260869565217391,0.0,0.0,0.8260869565217391,0.0,0.0,0.8260869565217391,0.0,0.0,0.8260869565217391,0.0,0.0
"(12,)",0.8260869565217391,"[0.500001, 1.0]",0.8260869565217391,0.0,0.0,0.8260869565217391,0.0,0.0,0.8260869565217391,0.0,0.0,0.8260869565217391,0.0,0.0
"(13,)",0.17391304347826086,"[0.0, 0.999663]",0.17391304347826086,0.17391304347826086,1.0,0.17391304347826086,0.17391304347826086,1.0,0.17391304347826086,0.17391304347826086,1.0,0.17391304347826086,0.17391304347826086,1.0
"(1,)",0.8985507246376812,"[0.9996769999999999, 0.999701]",0.7246376811594203,0.37037037037037035,0.8333333333333334,0.7246376811594203,0.37037037037037035,0.8333333333333334,0.7536231884057971,0.4,0.8333333333333334,0.7971014492753623,0.45454545454545453,0.8333333333333334
"(2,)",0.8840579710144928,"[0.463829, 0.467751]",0.7681159420289855,0.0,0.0,0.782608695652174,0.0,0.0,0.782608695652174,0.0,0.0,0.8115942028985508,0.0,0.0
"(3,)",0.927536231884058,"[0.977908, 0.998736]",0.7246376811594203,0.3793103448275862,0.9166666666666666,0.8115942028985508,0.47619047619047616,0.8333333333333334,0.8405797101449275,0.5263157894736842,0.8333333333333334,0.9130434782608695,0.75,0.75
"(4,)",0.9565217391304348,"[0.901308, 0.9116989999999999]",0.8985507246376812,0.6666666666666666,0.8333333333333334,0.9420289855072463,0.8333333333333334,0.8333333333333334,0.8985507246376812,0.8571428571428571,0.5,0.8405797101449275,0.6666666666666666,0.16666666666666666
"(5,)",0.8260869565217391,"[0.984622, 1.0]",0.782608695652174,0.2,0.08333333333333333,0.7971014492753623,0.25,0.08333333333333333,0.782608695652174,0.0,0.0,0.8260869565217391,0.0,0.0
"(6,)",0.8260869565217391,"[0.519767, 1.0]",0.8260869565217391,0.0,0.0,0.8260869565217391,0.0,0.0,0.8260869565217391,0.0,0.0,0.8260869565217391,0.0,0.0
"(7,)",0.9130434782608695,"[0.6542819999999999, 0.739086]",0.7971014492753623,0.25,0.08333333333333333,0.8260869565217391,0.0,0.0,0.8260869565217391,0.0,0.0,0.8260869565217391,0.0,0.0
"(8,)",0.8985507246376812,"[0.999895, 0.9999619999999999]",0.7681159420289855,0.42857142857142855,1.0,0.7971014492753623,0.45454545454545453,0.8333333333333334,0.8115942028985508,0.47619047619047616,0.8333333333333334,0.8405797101449275,0.5294117647058824,0.75
"(9,)",0.8260869565217391,"[0.500001, 1.0]",0.8260869565217391,0.0,0.0,0.8260869565217391,0.0,0.0,0.8260869565217391,0.0,0.0,0.8260869565217391,0.0,0.0
