Combo,Opt Acc.,Conf Range,80% Acc,80% Pur,80% Comp,90% Acc,90% Pur,90% Comp,95% Acc,95% Pur,95% Comp,99% Acc,99% Pur,99% Comp,99.9% Acc,99.9% Pur,99.9% Comp
"(1, 2, 3, 4, 5, 6, 8)",0.984375,"[0.8325, 0.9929]",0.96875,0.8571428571428571,1.0,0.984375,0.9230769230769231,1.0,0.984375,0.9230769230769231,1.0,0.984375,0.9230769230769231,1.0,0.953125,0.9090909090909091,0.8333333333333334
"(1, 2, 5, 6, 8, 11, 12)",0.96875,"[0.9994000000000001, 0.9998]",0.890625,0.6470588235294118,0.9166666666666666,0.90625,0.6875,0.9166666666666666,0.953125,0.8461538461538461,0.9166666666666666,0.953125,0.9090909090909091,0.8333333333333334,0.953125,0.9090909090909091,0.8333333333333334
"(1, 2, 5, 7, 8, 9, 10)",0.984375,"[0.46090000000000003, 0.8344]",0.984375,0.9230769230769231,1.0,0.96875,0.9166666666666666,0.9166666666666666,0.96875,0.9166666666666666,0.9166666666666666,0.96875,0.9166666666666666,0.9166666666666666,0.96875,0.9166666666666666,0.9166666666666666
"(1, 2, 5, 7, 8, 9, 11)",0.953125,"[0.9183, 1.0]",0.9375,0.8333333333333334,0.8333333333333334,0.9375,0.8333333333333334,0.8333333333333334,0.953125,0.9090909090909091,0.8333333333333334,0.953125,0.9090909090909091,0.8333333333333334,0.953125,0.9090909090909091,0.8333333333333334
"(1, 2, 5, 7, 8, 9, 12)",0.765625,"[1.0, 1.0]",0.6875,0.36666666666666664,0.9166666666666666,0.6875,0.36666666666666664,0.9166666666666666,0.6875,0.36666666666666664,0.9166666666666666,0.703125,0.3793103448275862,0.9166666666666666,0.734375,0.4074074074074074,0.9166666666666666
"(1, 2, 5, 7, 8, 10, 11)",0.96875,"[0.7369, 0.9883000000000001]",0.96875,0.9166666666666666,0.9166666666666666,0.953125,0.9090909090909091,0.8333333333333334,0.96875,1.0,0.8333333333333334,0.953125,1.0,0.75,0.859375,1.0,0.25
"(1, 2, 5, 7, 8, 10, 12)",0.921875,"[1.0, 1.0]",0.703125,0.3793103448275862,0.9166666666666666,0.703125,0.3793103448275862,0.9166666666666666,0.71875,0.39285714285714285,0.9166666666666666,0.765625,0.44,0.9166666666666666,0.796875,0.4782608695652174,0.9166666666666666
"(1, 2, 5, 7, 8, 11, 12)",0.96875,"[0.8078000000000001, 0.9959]",0.953125,0.8461538461538461,0.9166666666666666,0.96875,0.9166666666666666,0.9166666666666666,0.953125,0.9090909090909091,0.8333333333333334,0.96875,1.0,0.8333333333333334,0.875,1.0,0.3333333333333333
"(1, 2, 5, 8, 9, 10, 11)",0.890625,"[0.5001, 1.0]",0.890625,0.8571428571428571,0.5,0.890625,0.8571428571428571,0.5,0.890625,0.8571428571428571,0.5,0.890625,0.8571428571428571,0.5,0.890625,0.8571428571428571,0.5
"(1, 2, 5, 8, 9, 10, 12)",0.953125,"[1.0, 1.0]",0.75,0.4230769230769231,0.9166666666666666,0.765625,0.44,0.9166666666666666,0.78125,0.4583333333333333,0.9166666666666666,0.828125,0.5238095238095238,0.9166666666666666,0.859375,0.5789473684210527,0.9166666666666666
"(1, 2, 5, 8, 9, 11, 12)",0.953125,"[0.9997, 0.9999]",0.78125,0.45454545454545453,0.8333333333333334,0.859375,0.5882352941176471,0.8333333333333334,0.875,0.625,0.8333333333333334,0.921875,0.7692307692307693,0.8333333333333334,0.9375,0.8333333333333334,0.8333333333333334
"(1, 2, 3, 4, 6, 8, 12)",0.8125,"[1.0, 1.0]",0.53125,0.275,0.9166666666666666,0.53125,0.275,0.9166666666666666,0.546875,0.28205128205128205,0.9166666666666666,0.578125,0.2972972972972973,0.9166666666666666,0.65625,0.34375,0.9166666666666666
"(1, 2, 5, 8, 10, 11, 12)",0.96875,"[0.9286000000000001, 0.9997]",0.875,0.6111111111111112,0.9166666666666666,0.9375,0.7857142857142857,0.9166666666666666,0.96875,0.9166666666666666,0.9166666666666666,0.96875,0.9166666666666666,0.9166666666666666,0.96875,1.0,0.8333333333333334
"(1, 2, 6, 7, 8, 9, 10)",0.96875,"[0.41960000000000003, 0.7823]",0.953125,0.9090909090909091,0.8333333333333334,0.953125,0.9090909090909091,0.8333333333333334,0.953125,0.9090909090909091,0.8333333333333334,0.9375,0.9,0.75,0.9375,0.9,0.75
