Combo,Opt Acc.,Conf Range,80% Acc,80% Pur,80% Comp,90% Acc,90% Pur,90% Comp,95% Acc,95% Pur,95% Comp,99% Acc,99% Pur,99% Comp,99.9% Acc,99.9% Pur,99.9% Comp
"(0, 1)",0.30434782608695654,"[1.0, 1.0]",0.17391304347826086,0.17391304347826086,1.0,0.17391304347826086,0.17391304347826086,1.0,0.17391304347826086,0.17391304347826086,1.0,0.17391304347826086,0.17391304347826086,1.0,0.17391304347826086,0.17391304347826086,1.0
"(0, 11)",0.8260869565217391,"[1.0, 1.0]",0.17391304347826086,0.17391304347826086,1.0,0.18840579710144928,0.17647058823529413,1.0,0.2898550724637681,0.19672131147540983,1.0,0.34782608695652173,0.21052631578947367,1.0,0.37681159420289856,0.19607843137254902,0.8333333333333334
"(0, 12)",0.17391304347826086,"[0.0, 1.0]",0.17391304347826086,0.17391304347826086,1.0,0.17391304347826086,0.17391304347826086,1.0,0.17391304347826086,0.17391304347826086,1.0,0.17391304347826086,0.17391304347826086,1.0,0.17391304347826086,0.17391304347826086,1.0
"(0, 13)",0.17391304347826086,"[0.0, 1.0]",0.17391304347826086,0.17391304347826086,1.0,0.17391304347826086,0.17391304347826086,1.0,0.17391304347826086,0.17391304347826086,1.0,0.17391304347826086,0.17391304347826086,1.0,0.17391304347826086,0.17391304347826086,1.0
"(1, 2)",0.8840579710144928,"[0.9992500000000001, 0.9996800000000001]",0.7391304347826086,0.39285714285714285,0.9166666666666666,0.7246376811594203,0.37037037037037035,0.8333333333333334,0.7246376811594203,0.37037037037037035,0.8333333333333334,0.782608695652174,0.43478260869565216,0.8333333333333334,0.8405797101449275,0.5294117647058824,0.75
"(1, 3)",0.8260869565217391,"[0.5000100000000001, 1.0]",0.8260869565217391,0.0,0.0,0.8260869565217391,0.0,0.0,0.8260869565217391,0.0,0.0,0.8260869565217391,0.0,0.0,0.8260869565217391,0.0,0.0
"(1, 4)",0.8985507246376812,"[0.9999700000000001, 0.9999700000000001]",0.7391304347826086,0.39285714285714285,0.9166666666666666,0.7391304347826086,0.39285714285714285,0.9166666666666666,0.7391304347826086,0.39285714285714285,0.9166666666666666,0.7246376811594203,0.37037037037037035,0.8333333333333334,0.782608695652174,0.43478260869565216,0.8333333333333334
"(1, 5)",0.8405797101449275,"[0.99999, 0.99999]",0.7391304347826086,0.39285714285714285,0.9166666666666666,0.7391304347826086,0.39285714285714285,0.9166666666666666,0.7391304347826086,0.39285714285714285,0.9166666666666666,0.7536231884057971,0.4,0.8333333333333334,0.782608695652174,0.42857142857142855,0.75
"(1, 6)",0.8840579710144928,"[0.99965, 0.9996600000000001]",0.7246376811594203,0.37037037037037035,0.8333333333333334,0.7246376811594203,0.37037037037037035,0.8333333333333334,0.7246376811594203,0.37037037037037035,0.8333333333333334,0.782608695652174,0.43478260869565216,0.8333333333333334,0.8115942028985508,0.47368421052631576,0.75
"(1, 7)",0.8115942028985508,"[1.0, 1.0]",0.7246376811594203,0.37037037037037035,0.8333333333333334,0.7391304347826086,0.38461538461538464,0.8333333333333334,0.7391304347826086,0.38461538461538464,0.8333333333333334,0.7391304347826086,0.38461538461538464,0.8333333333333334,0.782608695652174,0.43478260869565216,0.8333333333333334
"(1, 8)",0.8695652173913043,"[1.0, 1.0]",0.7246376811594203,0.37037037037037035,0.8333333333333334,0.7246376811594203,0.37037037037037035,0.8333333333333334,0.7246376811594203,0.37037037037037035,0.8333333333333334,0.7391304347826086,0.38461538461538464,0.8333333333333334,0.7681159420289855,0.4166666666666667,0.8333333333333334
"(0, 2)",0.8260869565217391,"[0.5000100000000001, 1.0]",0.8260869565217391,0.0,0.0,0.8260869565217391,0.0,0.0,0.8260869565217391,0.0,0.0,0.8260869565217391,0.0,0.0,0.8260869565217391,0.0,0.0
"(1, 9)",0.8115942028985508,"[1.0, 1.0]",0.7536231884057971,0.4074074074074074,0.9166666666666666,0.7536231884057971,0.4074074074074074,0.9166666666666666,0.7536231884057971,0.4074074074074074,0.9166666666666666,0.7536231884057971,0.4074074074074074,0.9166666666666666,0.782608695652174,0.44,0.9166666666666666
"(1, 10)",0.8260869565217391,"[0.9996700000000001, 0.9999800000000001]",0.7246376811594203,0.37037037037037035,0.8333333333333334,0.7246376811594203,0.37037037037037035,0.8333333333333334,0.7391304347826086,0.375,0.75,0.7681159420289855,0.4090909090909091,0.75,0.7971014492753623,0.45,0.75
"(1, 11)",0.927536231884058,"[0.9996400000000001, 0.99982]",0.8260869565217391,0.5,0.75,0.8260869565217391,0.5,0.75,0.8405797101449275,0.5294117647058824,0.75,0.8840579710144928,0.6428571428571429,0.75,0.8985507246376812,0.6923076923076923,0.75
"(1, 12)",0.17391304347826086,"[0.0, 0.9961300000000001]",0.17391304347826086,0.17391304347826086,1.0,0.17391304347826086,0.17391304347826086,1.0,0.17391304347826086,0.17391304347826086,1.0,0.17391304347826086,0.17391304347826086,1.0,0.15942028985507245,0.16176470588235295,0.9166666666666666
"(1, 13)",0.17391304347826086,"[0.0, 0.99999]",0.17391304347826086,0.17391304347826086,1.0,0.17391304347826086,0.17391304347826086,1.0,0.17391304347826086,0.17391304347826086,1.0,0.17391304347826086,0.17391304347826086,1.0,0.17391304347826086,0.17391304347826086,1.0
"(2, 3)",0.927536231884058,"[0.9951900000000001, 0.9996200000000001]",0.6086956521739131,0.3076923076923077,1.0,0.7101449275362319,0.375,1.0,0.782608695652174,0.43478260869565216,0.8333333333333334,0.8985507246376812,0.6923076923076923,0.75,0.9130434782608695,0.8,0.6666666666666666
"(2, 4)",0.8260869565217391,"[0.5000100000000001, 1.0]",0.8260869565217391,0.0,0.0,0.8260869565217391,0.0,0.0,0.8260869565217391,0.0,0.0,0.8260869565217391,0.0,0.0,0.8260869565217391,0.0,0.0
