Combo,Opt Acc.,Conf Range,80% Acc,80% Pur,80% Comp,90% Acc,90% Pur,90% Comp,95% Acc,95% Pur,95% Comp,99% Acc,99% Pur,99% Comp
"(0,)",0.3181818181818182,"[1.0, 1.0]",0.22727272727272727,0.19047619047619047,1.0,0.25757575757575757,0.19672131147540983,1.0,0.25757575757575757,0.19672131147540983,1.0,0.25757575757575757,0.19672131147540983,1.0
"(10,)",0.8181818181818182,"[0.500001, 1.0]",0.8181818181818182,0.0,0.0,0.8181818181818182,0.0,0.0,0.8181818181818182,0.0,0.0,0.8181818181818182,0.0,0.0
"(11,)",0.8939393939393939,"[0.15417899999999998, 0.8649779999999999]",0.8939393939393939,1.0,0.4166666666666667,0.8787878787878788,1.0,0.3333333333333333,0.8787878787878788,1.0,0.3333333333333333,0.8787878787878788,1.0,0.3333333333333333
"(12,)",0.8181818181818182,"[0.596833, 1.0]",0.8181818181818182,0.0,0.0,0.8181818181818182,0.0,0.0,0.8181818181818182,0.0,0.0,0.8181818181818182,0.0,0.0
"(13,)",0.18181818181818182,"[0.0, 0.09093599999999999]",0.15151515151515152,0.15625,0.8333333333333334,0.13636363636363635,0.14285714285714285,0.75,0.10606060606060606,0.11475409836065574,0.5833333333333334,0.10606060606060606,0.11475409836065574,0.5833333333333334
"(1,)",0.8939393939393939,"[0.361056, 0.5]",0.8181818181818182,0.0,0.0,0.8181818181818182,0.0,0.0,0.8181818181818182,0.0,0.0,0.8181818181818182,0.0,0.0
"(2,)",0.9090909090909091,"[0.605399, 0.660445]",0.8333333333333334,0.6,0.25,0.8181818181818182,0.5,0.08333333333333333,0.803030303030303,0.0,0.0,0.803030303030303,0.0,0.0
"(3,)",0.8181818181818182,"[0.500001, 1.0]",0.8181818181818182,0.0,0.0,0.8181818181818182,0.0,0.0,0.8181818181818182,0.0,0.0,0.8181818181818182,0.0,0.0
"(4,)",0.9545454545454546,"[0.778018, 0.875023]",0.9545454545454546,1.0,0.75,0.9090909090909091,1.0,0.5,0.8484848484848485,1.0,0.16666666666666666,0.8484848484848485,1.0,0.16666666666666666
"(5,)",0.8333333333333334,"[0.802978, 0.986856]",0.8181818181818182,0.5,0.08333333333333333,0.8333333333333334,1.0,0.08333333333333333,0.8333333333333334,1.0,0.08333333333333333,0.8181818181818182,0.0,0.0
"(6,)",0.8181818181818182,"[0.440312, 1.0]",0.8181818181818182,0.0,0.0,0.8181818181818182,0.0,0.0,0.8181818181818182,0.0,0.0,0.8181818181818182,0.0,0.0
"(7,)",0.9696969696969697,"[0.500001, 0.830276]",0.9696969696969697,0.9166666666666666,0.9166666666666666,0.9545454545454546,0.9090909090909091,0.8333333333333334,0.9545454545454546,0.9090909090909091,0.8333333333333334,0.9393939393939394,0.9,0.75
"(8,)",0.9696969696969697,"[0.988305, 0.997629]",0.9090909090909091,0.6875,0.9166666666666666,0.9090909090909091,0.6875,0.9166666666666666,0.9393939393939394,0.7857142857142857,0.9166666666666666,0.9696969696969697,1.0,0.8333333333333334
"(9,)",0.9696969696969697,"[0.9719209999999999, 0.999813]",0.8636363636363636,0.5789473684210527,0.9166666666666666,0.8939393939393939,0.6470588235294118,0.9166666666666666,0.9393939393939394,0.7857142857142857,0.9166666666666666,0.9545454545454546,0.9090909090909091,0.8333333333333334
