OBSID,Real Label,Pred Label,Probabilities
0200920101,0,1,"[0.0, 1.0]"
0306630201,0,1,"[0.0, 1.0]"
0803670501,0,1,"[0.0, 1.0]"
0862760201,0,1,"[0.0, 1.0]"
0761630301,0,1,"[0.0, 1.0]"
0864330101,1,1,"[1.195749530457709e-35, 1.0]"
0823680101,1,1,"[8.169389254295391e-17, 1.0]"
0893810501,1,1,"[9.091426295167666e-24, 1.0]"
0200670101,0,1,"[0.0, 1.0]"
0872390101,1,1,"[4.935092483243632e-36, 1.0]"
0864330201,0,1,"[0.0, 1.0]"
0411980101,0,1,"[0.0, 1.0]"
0657820101,0,1,"[1.8728002779763974e-28, 1.0]"
0152170501,0,1,"[0.0, 1.0]"
0510011501,0,1,"[0.0, 1.0]"
0112551701,0,1,"[3.2743782573154235e-35, 1.0]"
0556090101,0,1,"[0.0, 1.0]"
0112550601,0,1,"[0.0, 1.0]"
0304190101,0,1,"[0.0, 1.0]"
0411980401,1,1,"[4.398308178798562e-38, 1.0]"
0551450101,0,1,"[0.0, 1.0]"
0861910301,1,1,"[0.21284882724285126, 0.7871511578559875]"
0740960101,0,1,"[0.0, 1.0]"
0145800101,0,1,"[0.0, 1.0]"
0761630201,0,1,"[0.0, 1.0]"
0725200101,0,1,"[3.9791178571514305e-14, 1.0]"
0725200301,0,1,"[8.1561965514787e-11, 1.0]"
0691570101,0,1,"[0.0, 1.0]"
0831790701,1,1,"[1.3133842095765561e-20, 1.0]"
0870830101,0,1,"[0.0, 1.0]"
0200670401,0,1,"[0.0, 1.0]"
0803671001,0,1,"[0.0, 1.0]"
0851180501,1,1,"[1.036794359394752e-21, 1.0]"
0790650101,0,1,"[4.689738723230585e-13, 1.0]"
0401360101,0,1,"[0.0, 1.0]"
0200670301,0,1,"[0.0, 1.0]"
0401360301,0,1,"[0.0, 1.0]"
0761630101,0,1,"[0.0, 1.0]"
0870830201,0,1,"[0.0, 1.0]"
0805080501,0,1,"[0.0, 1.0]"
0124710801,1,1,"[1.4856957739848489e-27, 1.0]"
0311190101,0,1,"[6.217529204162464e-13, 1.0]"
0861910201,1,1,"[3.662477819698989e-18, 1.0]"
0870830401,0,1,"[0.0, 1.0]"
0803670601,0,1,"[0.0, 1.0]"
0603260201,0,1,"[0.0, 1.0]"
0551870401,0,1,"[0.0, 1.0]"
0200670201,0,1,"[0.0, 1.0]"
0891800601,0,1,"[0.0, 1.0]"
0794581201,0,1,"[0.0, 1.0]"
0784510301,0,1,"[0.0, 1.0]"
0803671101,0,1,"[0.0, 1.0]"
0111790101,0,1,"[2.7794933282764493e-18, 1.0]"
0864330301,0,1,"[0.0, 1.0]"
0805080401,0,1,"[0.0, 1.0]"
0500730201,0,1,"[0.0, 1.0]"
0842340201,0,1,"[0.0, 1.0]"
0864330401,0,1,"[0.0, 1.0]"
0401360201,0,1,"[0.0, 1.0]"
0500730101,0,1,"[0.0, 1.0]"
0864560101,1,1,"[3.7187591110289143e-20, 1.0]"
0651790201,0,1,"[0.0, 1.0]"
0870830301,0,1,"[0.0, 1.0]"
0851180401,1,1,"[1.728865217442584e-17, 1.0]"
0551870601,0,1,"[0.0, 1.0]"
0306630101,0,1,"[1.815213949488936e-29, 1.0]"
