OBSID,Real Label,Pred Label,Probabilities
0306630201,0,1,"[3.210139265519274e-09, 1.0]"
0725200101,0,1,"[0.014241740107536316, 0.9857583045959473]"
0657820101,0,1,"[0.0016742446459829807, 0.998325765132904]"
0401360201,0,1,"[1.5137648915697355e-05, 0.999984860420227]"
0861910201,1,1,"[4.384152537737613e-16, 1.0]"
0411980101,0,1,"[0.00010354509140597656, 0.9998964071273804]"
0145800101,0,1,"[1.199583188338238e-08, 1.0]"
0093641701,0,1,"[0.0030210858676582575, 0.9969788789749146]"
0651790201,0,1,"[5.536675871553598e-06, 0.9999945163726807]"
0691570101,0,1,"[0.00013376241258811206, 0.999866247177124]"
0823680101,1,1,"[1.1434696505635555e-12, 1.0]"
0870830101,0,1,"[1.0585930567685864e-06, 0.999998927116394]"
0500730101,0,1,"[1.599253437234438e-06, 0.9999984502792358]"
0740960101,0,1,"[5.970937309029978e-06, 0.9999940395355225]"
0200920101,0,1,"[1.5464646230256562e-09, 1.0]"
0803670501,0,1,"[9.776095794222783e-06, 0.9999902248382568]"
0761630101,0,1,"[1.462122961823629e-17, 1.0]"
0893810501,1,1,"[1.338699463782067e-11, 1.0]"
0864330101,1,1,"[7.740483809470788e-09, 1.0]"
0112551701,0,1,"[0.0003442323941271752, 0.9996557235717773]"
0311190101,0,0,"[0.5, 0.5]"
0551450101,0,1,"[0.00037111714482307434, 0.9996289014816284]"
0200670301,0,1,"[4.816277214558795e-05, 0.9999518394470215]"
0200670401,0,1,"[3.2420459206150554e-07, 0.9999996423721313]"
0306630101,0,1,"[5.921726442537079e-10, 1.0]"
0761630201,0,1,"[5.195299485755145e-12, 1.0]"
0093641601,0,0,"[0.5, 0.5]"
0761630301,1,1,"[4.6410313814249093e-08, 1.0]"
0603260201,0,1,"[5.97729296614169e-11, 1.0]"
0725200301,0,1,"[0.023570701479911804, 0.9764293432235718]"
0864330401,0,1,"[2.068014509859495e-05, 0.9999793767929077]"
0112550601,0,1,"[3.5346095046406845e-06, 0.9999964237213135]"
0870830301,0,1,"[3.815770469373092e-06, 0.9999961853027344]"
0842340201,0,1,"[0.0018444852903485298, 0.9981555342674255]"
0805080501,0,1,"[3.2205363709181256e-07, 0.9999996423721313]"
0152170501,0,1,"[5.688285000360338e-06, 0.9999942779541016]"
0831790701,1,1,"[5.414307443682952e-15, 1.0]"
0803670601,0,1,"[4.1648938349680975e-05, 0.9999583959579468]"
0111790101,0,1,"[0.003839480457827449, 0.9961605072021484]"
0200670201,0,1,"[0.0, 1.0]"
0790650101,0,0,"[0.5, 0.5]"
0551870401,0,1,"[9.785563293007726e-08, 0.9999998807907104]"
0864330201,0,1,"[0.00291493465192616, 0.9970850348472595]"
0401360101,0,1,"[0.0003681389207486063, 0.9996318817138672]"
0551870601,0,1,"[8.774667549005244e-06, 0.9999911785125732]"
0784510301,0,1,"[1.4383464019829262e-07, 0.9999998807907104]"
0851180501,1,1,"[1.5227093674505254e-13, 1.0]"
0803671101,0,1,"[5.248736556495714e-07, 0.9999995231628418]"
0556090101,0,1,"[2.232440238003619e-06, 0.9999977350234985]"
0864330301,0,1,"[0.0011533788638189435, 0.9988466501235962]"
0872390101,1,1,"[7.457775699483372e-17, 1.0]"
0851180401,1,1,"[9.621764105946506e-13, 1.0]"
0510011501,0,1,"[2.2130615735812372e-29, 1.0]"
0093641501,0,1,"[1.6984920875984244e-05, 0.9999830722808838]"
0794581201,0,1,"[2.7047084586229175e-05, 0.999972939491272]"
0864560101,1,1,"[8.022164529886133e-12, 1.0]"
0500730201,0,1,"[9.071801468962803e-05, 0.9999092817306519]"
0411980401,1,1,"[5.189365765545517e-06, 0.9999947547912598]"
0861910301,1,0,"[0.5, 0.5]"
0401360301,0,1,"[2.1127736999915214e-06, 0.9999978542327881]"
0862760201,0,1,"[0.00018662019283510745, 0.9998133778572083]"
0870830201,0,1,"[5.82268421567278e-06, 0.999994158744812]"
0891800601,0,1,"[1.1330638649553748e-08, 1.0]"
0304190101,0,1,"[5.462435783766687e-23, 1.0]"
0805080401,0,1,"[2.8627273422898725e-06, 0.9999971389770508]"
0124710801,1,1,"[9.152315678332551e-14, 1.0]"
0803671001,0,1,"[3.210201975889504e-05, 0.9999679327011108]"
0870830401,0,1,"[8.18043336039409e-05, 0.9999182224273682]"
0200670101,0,1,"[4.349653975078433e-38, 1.0]"
