Features Used,Validation Accuracy,Sim Test Accuracy,Real Test Accuracy,Real Test Completeness,Real Test Purity,F1 Score
"(2, 7, 8)",0.921388864517212,0.9239000082015992,0.6521739363670349,1.0,0.3513513513513513,0.5199999999999999
"(2, 7, 9)",0.9298333525657654,0.9272000193595886,0.4637681245803833,1.0,0.26,0.41269841269841273
"(2, 7, 10)",0.4993889033794403,0.5,0.8115941882133484,0.0,0.0,0.0
"(2, 7, 11)",0.9070000052452089,0.90829998254776,0.8405796885490417,0.6923076923076923,0.5625,0.6206896551724138
"(2, 7, 12)",0.8793333172798157,0.8804000020027161,0.6521739363670349,0.8461538461538461,0.3333333333333333,0.47826086956521735
"(2, 7, 13)",0.9267222285270692,0.9258000254631042,0.1884057968854904,1.0,0.1884057971014492,0.3170731707317072
"(2, 8, 9)",0.4961666762828827,0.5,0.8115941882133484,0.0,0.0,0.0
"(2, 8, 10)",0.4988888800144195,0.5,0.8115941882133484,0.0,0.0,0.0
"(2, 8, 11)",0.923888862133026,0.9211000204086304,0.8260869383811951,0.8461538461538461,0.5238095238095238,0.6470588235294118
"(2, 8, 12)",0.9232222437858582,0.9243999719619752,0.2173912972211837,1.0,0.1940298507462686,0.32499999999999996
"(2, 8, 13)",0.4990555644035339,0.5,0.8115941882133484,0.0,0.0,0.0
"(2, 9, 10)",0.923555552959442,0.9218000173568726,0.5362318754196167,0.9230769230769232,0.2790697674418604,0.4285714285714285
"(2, 9, 11)",0.9357222318649292,0.9350000023841858,0.4637681245803833,0.9230769230769232,0.25,0.39344262295081966
"(2, 9, 12)",0.9270555377006532,0.9247999787330629,0.2173912972211837,1.0,0.1940298507462686,0.32499999999999996
"(2, 9, 13)",0.9380000233650208,0.9373999834060668,0.1884057968854904,1.0,0.1884057971014492,0.3170731707317072
"(2, 10, 11)",0.5038889050483704,0.5,0.7971014380455017,0.0,0.0,0.0
"(2, 10, 12)",0.7183889150619507,0.7257999777793884,0.1884057968854904,0.6923076923076923,0.1475409836065573,0.24324324324324312
"(2, 10, 13)",0.5011666417121887,0.5,0.8115941882133484,0.0,0.0,0.0
"(2, 11, 12)",0.5013333559036255,0.5,0.8115941882133484,0.0,0.0,0.0
"(2, 11, 13)",0.4995555579662323,0.5,0.8115941882133484,0.0,0.0,0.0
"(2, 12, 13)",0.5002222061157227,0.5,0.8115941882133484,0.0,0.0,0.0
"(3, 4, 5)",0.930388867855072,0.930299997329712,0.3768115937709808,1.0,0.2321428571428571,0.37681159420289845
"(3, 4, 6)",0.9323889017105104,0.9304999709129332,0.3333333432674408,1.0,0.2203389830508474,0.36111111111111105
"(3, 4, 7)",0.5005555748939514,0.5,0.8115941882133484,0.0,0.0,0.0
"(3, 4, 8)",0.9355000257492064,0.9336000084877014,0.2753623127937317,1.0,0.2063492063492063,0.3421052631578947
"(3, 4, 9)",0.9320555329322816,0.9315999746322632,0.2753623127937317,1.0,0.2063492063492063,0.3421052631578947
"(3, 4, 10)",0.4953333437442779,0.5,0.8115941882133484,0.0,0.0,0.0
"(3, 4, 11)",0.9301111102104188,0.9275000095367432,0.7536231875419617,0.9230769230769232,0.4285714285714285,0.5853658536585366
"(3, 4, 12)",0.4976666569709778,0.5,0.8115941882133484,0.0,0.0,0.0
"(3, 4, 13)",0.9366111159324646,0.9359999895095824,0.1884057968854904,1.0,0.1884057971014492,0.3170731707317072
"(3, 5, 6)",0.9313333630561828,0.9312000274658204,0.2898550629615783,1.0,0.2096774193548387,0.3466666666666666
"(3, 5, 7)",0.9110555648803712,0.90829998254776,0.5942028760910034,1.0,0.3170731707317073,0.48148148148148145
"(3, 5, 8)",0.5014444589614868,0.5,0.8115941882133484,0.0,0.0,0.0
"(3, 5, 9)",0.9311110973358154,0.9312999844551086,0.2898550629615783,1.0,0.2096774193548387,0.3466666666666666
"(3, 5, 10)",0.5032222270965576,0.5,0.8115941882133484,0.0,0.0,0.0
"(3, 5, 11)",0.9313889145851136,0.9343000054359436,0.260869562625885,1.0,0.203125,0.33766233766233766
"(3, 5, 12)",0.496277779340744,0.5,0.8115941882133484,0.0,0.0,0.0
"(3, 5, 13)",0.939388871192932,0.9391000270843506,0.1884057968854904,1.0,0.1884057971014492,0.3170731707317072
"(3, 6, 7)",0.9342222213745116,0.9304999709129332,0.2463768124580383,1.0,0.2,0.33333333333333337
"(3, 6, 8)",0.9352222084999084,0.9323999881744384,0.2898550629615783,1.0,0.2096774193548387,0.3466666666666666
"(3, 6, 9)",0.9297778010368348,0.9314000010490416,0.2898550629615783,1.0,0.2096774193548387,0.3466666666666666
"(3, 6, 10)",0.9210000038146972,0.9171000123023988,0.3768115937709808,0.9230769230769232,0.2222222222222222,0.3582089552238806
"(3, 6, 11)",0.9347222447395324,0.9344000220298768,0.3768115937709808,1.0,0.2321428571428571,0.37681159420289845
"(3, 6, 12)",0.4994444549083709,0.5,0.8115941882133484,0.0,0.0,0.0
"(3, 6, 13)",0.9394999742507936,0.9370999932289124,0.1884057968854904,1.0,0.1884057971014492,0.3170731707317072
"(3, 7, 8)",0.9325555562973022,0.9333000183105468,0.2753623127937317,1.0,0.2063492063492063,0.3421052631578947
"(3, 7, 9)",0.4949444532394409,0.5,0.8115941882133484,0.0,0.0,0.0
"(3, 7, 10)",0.8813889026641846,0.8870999813079834,0.6666666865348816,0.9230769230769232,0.3529411764705882,0.5106382978723404
"(3, 7, 11)",0.9358888864517212,0.9344000220298768,0.3623188436031341,1.0,0.2280701754385964,0.37142857142857133
"(3, 7, 12)",0.929277777671814,0.9314000010490416,0.1884057968854904,1.0,0.1884057971014492,0.3170731707317072
"(3, 7, 13)",0.9316666722297668,0.9330999851226808,0.1884057968854904,1.0,0.1884057971014492,0.3170731707317072
"(3, 8, 9)",0.9364444613456726,0.9348000288009644,0.2753623127937317,1.0,0.2063492063492063,0.3421052631578947
"(3, 8, 10)",0.9048888683319092,0.9034000039100648,0.739130437374115,0.9230769230769232,0.4137931034482758,0.5714285714285714
"(3, 8, 11)",0.9351666569709778,0.9369000196456908,0.260869562625885,1.0,0.203125,0.33766233766233766
"(3, 8, 12)",0.4985555410385132,0.5,0.8115941882133484,0.0,0.0,0.0
"(3, 8, 13)",0.93922221660614,0.939300000667572,0.1884057968854904,1.0,0.1884057971014492,0.3170731707317072
"(3, 9, 10)",0.9209444522857666,0.9203000068664552,0.5072463750839233,0.9230769230769232,0.2666666666666666,0.41379310344827575
"(3, 9, 11)",0.9375555515289308,0.9352999925613404,0.2898550629615783,1.0,0.2096774193548387,0.3466666666666666
"(3, 9, 12)",0.503333330154419,0.5,0.8115941882133484,0.0,0.0,0.0
"(3, 9, 13)",0.9404444694519044,0.9379000067710876,0.1884057968854904,1.0,0.1884057971014492,0.3170731707317072
"(3, 10, 11)",0.925611138343811,0.9236000180244446,0.4057970941066742,0.9230769230769232,0.2307692307692307,0.36923076923076914
"(3, 10, 12)",0.9244444370269777,0.9215999841690063,0.3188405930995941,1.0,0.2166666666666666,0.35616438356164376
"(3, 10, 13)",0.4992777705192566,0.5,0.8115941882133484,0.0,0.0,0.0
"(3, 11, 12)",0.5028333067893982,0.5,0.8115941882133484,0.0,0.0,0.0
"(3, 11, 13)",0.9359999895095824,0.9352999925613404,0.1884057968854904,1.0,0.1884057971014492,0.3170731707317072
"(3, 12, 13)",0.9353333115577698,0.9383999705314636,0.1884057968854904,1.0,0.1884057971014492,0.3170731707317072
"(4, 5, 6)",0.8544999957084656,0.852400004863739,0.8695651888847351,0.7692307692307693,0.625,0.6896551724137931
