,Features Used,Validation Accuracy,Sim Test Accuracy,Real Test Accuracy,Real Test Completeness,Real Test Purity,F1 Score,Metric Value
144,"(0, 1, 2, 4, 5, 7, 8, 9, 11, 12, 13)",0.9352777600288392,0.9340999722480774,0.1884057968854904,1.0,0.1884057971014492,0.3170731707317073,0.0
145,"(0, 1, 2, 4, 5, 7, 8, 10, 11, 12, 13)",0.9273333549499512,0.9240000247955322,0.1884057968854904,1.0,0.1884057971014492,0.3170731707317073,0.3170731707317073
146,"(0, 1, 2, 4, 5, 7, 9, 10, 11, 12, 13)",0.930388867855072,0.9305999875068665,0.1884057968854904,1.0,0.1884057971014492,0.3170731707317073,0.3170731707317073
147,"(0, 1, 2, 4, 5, 8, 9, 10, 11, 12, 13)",0.92122220993042,0.9232000112533568,0.1884057968854904,1.0,0.1884057971014492,0.3170731707317073,0.3170731707317073
148,"(0, 1, 2, 4, 6, 7, 8, 9, 10, 11, 12)",0.9338889122009276,0.9312999844551086,0.4347825944423675,0.9230769230769232,0.24,0.3809523809523809,0.3809523809523809
149,"(0, 1, 2, 4, 6, 7, 8, 9, 10, 11, 13)",0.9328333139419556,0.9293000102043152,0.2028985470533371,1.0,0.1911764705882352,0.3209876543209876,0.3209876543209876
150,"(0, 1, 2, 4, 6, 7, 8, 9, 10, 12, 13)",0.9220555424690248,0.921500027179718,0.1884057968854904,1.0,0.1884057971014492,0.3170731707317073,0.3170731707317073
151,"(0, 1, 2, 4, 6, 7, 8, 9, 11, 12, 13)",0.933722198009491,0.9350000023841858,0.1884057968854904,1.0,0.1884057971014492,0.3170731707317073,0.3170731707317073
152,"(0, 1, 2, 4, 6, 7, 8, 10, 11, 12, 13)",0.8489444255828857,0.8518999814987183,0.3768115937709808,0.8461538461538461,0.2115384615384615,0.3384615384615385,0.3384615384615385
153,"(0, 1, 2, 4, 6, 7, 9, 10, 11, 12, 13)",0.9294999837875366,0.92739999294281,0.2463768124580383,0.9230769230769232,0.1904761904761904,0.3157894736842105,0.3157894736842105
154,"(0, 1, 2, 4, 6, 8, 9, 10, 11, 12, 13)",0.9263888597488404,0.9269999861717224,0.2173912972211837,1.0,0.1940298507462686,0.325,0.325
