OBSID,Real Label,Pred Label,Probabilities
0794581201,0,1,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
0500730101,0,1,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
0411980101,0,1,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
0306630201,0,1,"[2.5664473191490227e-14, 1.0, 3.935079119673749e-21, 3.935079119673749e-21, 3.935079119673749e-21, 3.935079119673749e-21, 3.935079119673749e-21, 3.935079119673749e-21, 3.935079119673749e-21, 3.935079119673749e-21, 3.935079119673749e-21, 3.935079119673749e-21, 3.935079119673749e-21, 3.935079119673749e-21, 3.935079119673749e-21, 3.935079119673749e-21, 3.935079119673749e-21, 3.935079119673749e-21, 3.935079119673749e-21, 3.935079119673749e-21, 3.935079119673749e-21, 3.935079119673749e-21, 3.935079119673749e-21, 3.935079119673749e-21, 3.935079119673749e-21, 3.935079119673749e-21, 3.935079119673749e-21, 3.935079119673749e-21, 3.935079119673749e-21, 3.935079119673749e-21, 3.935079119673749e-21, 3.935079119673749e-21, 3.935079119673749e-21, 3.935079119673749e-21, 3.935079119673749e-21, 3.935079119673749e-21, 3.935079119673749e-21, 3.935079119673749e-21, 3.935079119673749e-21, 3.935079119673749e-21, 3.935079119673749e-21]"
0790650101,0,1,"[7.740393612523655e-13, 1.0, 2.1576711595352505e-19, 2.1576711595352505e-19, 2.1576711595352505e-19, 2.1576711595352505e-19, 2.1576711595352505e-19, 2.1576711595352505e-19, 2.1576711595352505e-19, 2.1576711595352505e-19, 2.1576711595352505e-19, 2.1576711595352505e-19, 2.1576711595352505e-19, 2.1576711595352505e-19, 2.1576711595352505e-19, 2.1576711595352505e-19, 2.1576711595352505e-19, 2.1576711595352505e-19, 2.1576711595352505e-19, 2.1576711595352505e-19, 2.1576711595352505e-19, 2.1576711595352505e-19, 2.1576711595352505e-19, 2.1576711595352505e-19, 2.1576711595352505e-19, 2.1576711595352505e-19, 2.1576711595352505e-19, 2.1576711595352505e-19, 2.1576711595352505e-19, 2.1576711595352505e-19, 2.1576711595352505e-19, 2.1576711595352505e-19, 2.1576711595352505e-19, 2.1576711595352505e-19, 2.1576711595352505e-19, 2.1576711595352505e-19, 2.1576711595352505e-19, 2.1576711595352505e-19, 2.1576711595352505e-19, 2.1576711595352505e-19, 2.1576711595352505e-19]"
0803671101,0,1,"[1.1857072615556475e-34, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
0112550601,0,1,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
0411980401,0,1,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
0740960101,0,1,"[1.5071470527457785e-35, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
0861910301,1,0,"[0.9696564078330994, 0.03033057413995266, 3.341022534186777e-07, 3.341022534186777e-07, 3.341022534186777e-07, 3.341022534186777e-07, 3.341022534186777e-07, 3.341022534186777e-07, 3.341022534186777e-07, 3.341022534186777e-07, 3.341022534186777e-07, 3.341022534186777e-07, 3.341022534186777e-07, 3.341022534186777e-07, 3.341022534186777e-07, 3.341022534186777e-07, 3.341022534186777e-07, 3.341022534186777e-07, 3.341022534186777e-07, 3.341022534186777e-07, 3.341022534186777e-07, 3.341022534186777e-07, 3.341022534186777e-07, 3.341022534186777e-07, 3.341022534186777e-07, 3.341022534186777e-07, 3.341022534186777e-07, 3.341022534186777e-07, 3.341022534186777e-07, 3.341022534186777e-07, 3.341022534186777e-07, 3.341022534186777e-07, 3.341022534186777e-07, 3.341022534186777e-07, 3.341022534186777e-07, 3.341022534186777e-07, 3.341022534186777e-07, 3.341022534186777e-07, 3.341022534186777e-07, 3.341022534186777e-07, 3.341022534186777e-07]"
0805080401,0,1,"[2.794275682056842e-37, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
0551450101,0,1,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
0803670601,0,1,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
