Features Used,Validation Accuracy,Sim Test Accuracy,Real Test Accuracy,Real Test Completeness,Real Test Purity,F1 Score,Metric Value
"(3, 4, 5, 7, 8, 12)",0.9466111063957214,0.9491000175476074,0.24242424964904785,0.9166666666666666,0.18333333333333332,0.3055555555555556,0.3055555555555556
"(3, 4, 5, 8, 9, 10)",0.9382222294807434,0.9402999877929688,0.939393937587738,0.9166666666666666,0.7857142857142857,0.8461538461538461,0.8461538461538461
"(3, 4, 5, 8, 9, 11)",0.9490000009536743,0.9503999948501587,0.9545454382896423,0.8333333333333334,0.9090909090909091,0.8695652173913043,0.8695652173913043
"(3, 4, 5, 8, 9, 12)",0.9432777762413025,0.9467999935150146,0.5151515007019043,0.9166666666666666,0.2619047619047619,0.4074074074074074,0.4074074074074074
"(3, 4, 5, 8, 10, 11)",0.9462222456932068,0.9502000212669373,0.9696969985961914,0.8333333333333334,1.0,0.9090909090909091,0.9090909090909091
"(3, 4, 5, 8, 10, 12)",0.9352222084999084,0.9348999857902527,0.27272728085517883,1.0,0.2,0.33333333333333337,0.33333333333333337
"(3, 4, 5, 8, 11, 12)",,,,,,,
"(3, 4, 6, 7, 8, 9)",,,,,,,
"(3, 4, 6, 7, 8, 10)",,,,,,,
"(3, 4, 6, 7, 8, 11)",,,,,,,
"(3, 4, 6, 7, 8, 12)",,,,,,,
"(3, 4, 6, 8, 9, 10)",,,,,,,
"(3, 4, 6, 8, 9, 11)",,,,,,,
"(3, 4, 6, 8, 9, 12)",,,,,,,
"(3, 4, 6, 8, 10, 11)",,,,,,,
"(3, 4, 6, 8, 10, 12)",,,,,,,
"(3, 4, 6, 8, 11, 12)",,,,,,,
"(3, 4, 7, 8, 9, 10)",,,,,,,
"(3, 4, 7, 8, 9, 11)",,,,,,,
"(3, 4, 7, 8, 9, 12)",,,,,,,
"(3, 4, 7, 8, 10, 11)",,,,,,,
"(3, 4, 7, 8, 10, 12)",,,,,,,
"(3, 4, 7, 8, 11, 12)",,,,,,,
"(3, 4, 8, 9, 10, 11)",,,,,,,
"(3, 4, 8, 9, 10, 12)",,,,,,,
"(3, 4, 8, 9, 11, 12)",,,,,,,
"(3, 4, 8, 10, 11, 12)",,,,,,,
"(3, 5, 6, 7, 8, 9)",,,,,,,
"(3, 5, 6, 7, 8, 10)",,,,,,,
"(3, 5, 6, 7, 8, 11)",,,,,,,
"(3, 5, 6, 7, 8, 12)",,,,,,,
"(3, 5, 6, 8, 9, 10)",,,,,,,
"(3, 5, 6, 8, 9, 11)",,,,,,,
"(3, 5, 6, 8, 9, 12)",,,,,,,
"(3, 5, 6, 8, 10, 11)",,,,,,,
"(3, 5, 6, 8, 10, 12)",,,,,,,
"(3, 5, 6, 8, 11, 12)",,,,,,,
"(3, 5, 7, 8, 9, 10)",,,,,,,
"(3, 5, 7, 8, 9, 11)",,,,,,,
"(3, 5, 7, 8, 9, 12)",,,,,,,
"(3, 5, 7, 8, 10, 11)",,,,,,,
